k,mst_D_rmspe,mst_D_adjr2,mst_D_avgpe,mst_S_rmspe,mst_S_adjr2,mst_S_avgpe,ms_D_rmspe,ms_D_adjr2,ms_D_avgpe,ms_S_rmspe,ms_S_adjr2,ms_S_avgpe
1,0.43859536240571395,0.9355718325998172,0.043748522857153804,0.3523547208496328,0.9480931806112225,0.03574467246456969,0.8012876834081336,0.15091131669741464,0.009306318978768949,0.281844548139529,0.9191007780037166,0.04166754074941991
2,0.4133570420570782,0.9423262580241043,0.019223145410157867,0.3359170461059498,0.9524546493154454,0.04675547912903635,0.8009752486393906,0.14494500055024695,0.011612000610985253,0.2806858202254236,0.9191377622798698,0.044306249177263196
3,0.3673681834523257,0.954086882872492,0.013595611186823996,0.3279340093981352,0.9543308281788792,0.03810069679975575,0.7957194077587569,0.14948493829996912,-0.0016407685067723944,0.14561597006170326,0.9780654326308161,0.0072729190746732885
4,0.34077788057524483,0.9601792286583006,0.011487371613391452,0.16782671041965636,0.9879439356257802,0.006939121501570603,0.40775312046672585,0.774892549187993,0.005697188479195165,0.14232674866734318,0.9788788631704624,0.007118783171655287
5,0.3406276053944971,0.9598960557250334,0.011953843845832304,0.15440234848021206,0.9897138766087382,0.0020770165064137058,0.38680353478165425,0.7958089587332948,0.01278993694402699,0.1324342939837796,0.9815665898387642,0.003925609298492154
6,0.34001055413617975,0.9597189735236564,0.01149327336728406,0.1527583768912001,0.989850554296555,0.0027537153655180792,0.38633698712140807,0.7946585045884323,0.012470296475266244,0.1293614701995665,0.9822702350242639,0.0027370566532220492
