date,xi_bear_p1,xi_bull_p1,xi_bear_p2,xi_bull_p2,bear_p1,bear_p2,bear_mst,adbear
2001-04,2.62004472951261e-35,1.0,1.0,8.727475179162276e-54,0,1,1,1.926803005
2001-05,8.11239966336564e-18,1.0,1.0,1.3392054590261101e-83,0,1,0,-1.7930606
2001-06,1.0,6.676469441627159e-41,1.0,2.426924145083726e-60,1,1,0,-0.454379426
2001-07,2.458800038018979e-50,1.0,1.0,1.0444881720074709e-60,0,1,1,0.545855238
2001-08,7.580907363738803e-22,1.0,1.2336092570707438e-09,0.9999999987663908,0,0,0,-0.43256075
2001-09,2.4595950980380026e-73,1.0,1.0,6.548781988178053e-103,0,1,1,1.811733343
2001-10,2.0354723280102666e-73,1.0,1.0,5.318404459636087e-64,0,1,1,1.611165714
2001-11,7.126008517130696e-26,1.0,1.0,2.889139060221511e-26,0,1,0,-0.709750526
2001-12,1.9320487747434058e-23,1.0,0.9999999999431797,5.682028682998841e-11,0,1,0,-1.280696429
2002-01,2.149582900318099e-33,1.0,1.0,5.917421917889676e-20,0,1,0,-0.92518205
2002-02,1.0,1.8125914813097814e-34,1.0,3.122874587421152e-26,1,1,1,1.105036667
2002-03,8.024876910527219e-15,0.999999999999992,2.3229841337335152e-05,0.9999767701586626,0,0,0,-1.101581167
2002-04,1.0,1.0352221999897428e-60,1.0,2.1551290698960098e-27,1,1,0,-0.118392255
2002-05,0.9999999999920852,7.914688550516166e-12,1.0,2.2203318072024763e-25,1,1,1,1.467970448
2002-06,1.0,1.3423506788858786e-28,1.0,1.32046922011787e-37,1,1,1,0.898940136
2002-07,1.0,4.27676715767545e-36,1.0,1.6862430170194335e-41,1,1,1,1.11762738
2002-08,1.1458787372598746e-09,0.9999999988541213,0.9043462608416223,0.09565373915837773,0,1,1,2.57741485
2002-09,1.0,1.901604354824793e-42,1.8868538630387727e-10,0.9999999998113146,1,0,0,0.152333727
2002-10,1.0,3.6303748632523525e-37,1.0,1.4884099985073164e-17,1,1,1,0.664938815
2002-11,1.0,1.9092974100797747e-69,1.0,1.1855545005781436e-54,1,1,0,-1.355122136
2002-12,1.0,1.0382469710876146e-19,0.999969717826863,3.028217313709557e-05,1,1,0,-0.48653282
2003-01,8.008833689389104e-05,0.9999199116631061,8.948658497316576e-11,0.9999999999105134,0,0,0,-0.545205748
2003-02,1.2538348123073892e-12,0.9999999999987461,6.397589760871941e-16,0.9999999999999994,0,0,1,1.204749286
2003-03,7.256529789738808e-14,0.9999999999999274,3.6312602840901603e-19,1.0,0,0,0,-0.47932738
2003-04,2.9187674700831442e-08,0.9999999708123253,3.994863934842063e-15,0.999999999999996,0,0,0,-0.980384171
2003-05,3.2744095661031445e-22,1.0,1.0,1.459447344233322e-22,0,1,0,-1.761293429
2003-06,6.407462928671904e-17,0.9999999999999999,0.999606288737089,0.0003937112629109652,0,1,0,-1.14492281
2003-07,4.2720757335169866e-13,0.9999999999995728,3.486007297738457e-11,0.9999999999651399,0,0,0,-0.655506381
2003-08,1.458178839008699e-18,1.0,2.2263151634750252e-09,0.9999999977736849,0,0,0,0.130300864
2003-09,3.492145281945259e-13,0.9999999999996508,0.9999999976249979,2.3750020866499758e-09,0,1,0,-1.474740857
2003-10,4.1723837849770937e-19,1.0,5.089720871976576e-13,0.9999999999994911,0,0,0,0.139941048
2003-11,1.0721415876452358e-15,0.9999999999999989,2.525123662880934e-27,1.0,0,0,0,-1.098159891
2003-12,2.9350628581459197e-09,0.9999999970649371,2.9248137577362156e-20,1.0,0,0,0,-0.709212684
2004-01,1.0405699831958086e-20,1.0,0.9999999999988819,1.1181993517454531e-12,0,1,0,-1.652516636
2004-02,5.190107733046615e-16,0.9999999999999994,7.481347738784529e-13,0.9999999999992518,0,0,0,-0.37689325
2004-03,8.040524865931203e-14,0.9999999999999195,2.521453184099988e-18,1.0,0,0,0,-1.204279826
2004-04,1.5833629031847667e-19,1.0,9.640608141607888e-15,0.9999999999999903,0,0,1,0.387453652
2004-05,6.29002436914501e-14,0.999999999999937,7.487903941885546e-20,1.0,0,0,1,0.683830143
2004-06,9.362403006696469e-05,0.999906375969933,1.7581469773367077e-13,0.9999999999998241,0,0,0,-0.737549475
2004-07,1.7411144150413567e-28,1.0,3.661673215169853e-18,1.0,0,0,0,-0.31930911
2004-08,1.2490363213563889e-14,0.9999999999999875,2.381978810920654e-25,1.0,0,0,1,0.426859152
2004-09,0.9771233572071395,0.022876642792860523,3.0412967395342945e-20,1.0,1,0,0,-1.084119545
2004-10,0.0004587716084731114,0.9995412283915269,2.280035113256928e-20,1.0,0,0,0,-1.081753671
2004-11,8.005907416571723e-16,0.9999999999999992,4.001392484113246e-29,1.0,0,0,0,-0.245906571
2004-12,7.443138458895534e-10,0.9999999992556861,4.226033360145025e-21,1.0,0,0,0,-1.576741714
2005-01,1.8452533295555712e-08,0.9999999815474667,9.1663624116449e-22,1.0,0,0,0,0.206033591
2005-02,0.9999998929392354,1.0706076453933671e-07,3.3912520326638745e-06,0.9999966087479674,1,0,0,-0.8308094
2005-03,1.9302023360073508e-16,0.9999999999999998,8.034583549423148e-21,1.0,0,0,0,-0.905202368
2005-04,2.981057779311978e-14,0.9999999999999701,1.9358817183652584e-26,1.0,0,0,1,0.461911045
2005-05,1.9995074069910198e-09,0.9999999980004926,3.941794028014581e-15,0.9999999999999961,0,0,1,0.3237249
2005-06,8.288387335476935e-13,0.9999999999991711,3.0827630412898944e-26,1.0,0,0,0,-1.220145695
2005-07,6.863691342768257e-14,0.9999999999999314,3.6646917899216124e-27,1.0,0,0,0,-0.244009727
2005-08,1.8317824101668524e-14,0.9999999999999818,3.759022038407951e-24,1.0,0,0,0,-1.29438445
2005-09,7.479781058272357e-14,0.9999999999999253,2.6912514420243926e-24,1.0,0,0,0,-0.256643687
2005-10,8.05584376457068e-11,0.9999999999194416,3.0006839740959097e-22,1.0,0,0,1,0.950981471
2005-11,5.6384143289340705e-16,0.9999999999999994,1.3160592360122853e-25,1.0,0,0,0,-0.598425
2005-12,2.107056414794647e-11,0.9999999999789295,3.434782870889077e-24,1.0,0,0,0,-1.595088
2006-01,3.677085908045581e-16,0.9999999999999997,1.1437778501410018e-15,0.9999999999999989,0,0,0,-0.680989157
2006-02,9.47232057912155e-15,0.9999999999999906,8.934476928322667e-22,1.0,0,0,0,0.29212215
2006-03,4.086637675544826e-13,0.9999999999995913,1.3738965934953213e-26,1.0,0,0,0,-0.779821368
2006-04,4.319436805617673e-17,1.0,1.3543002524831849e-22,1.0,0,0,0,-0.791043435
2006-05,1.2116393345538472e-24,1.0,3.79780831970575e-30,1.0,0,0,0,-0.496539421
2006-06,1.3999800671549306e-13,0.9999999999998601,3.1122483531389735e-26,1.0,0,0,1,1.697152223
2006-07,4.889094002412596e-19,1.0,1.2992771705008606e-13,0.9999999999998701,0,0,0,-0.37883061
2006-08,3.4735221358490317e-17,1.0,7.113072241556572e-23,1.0,0,0,0,-0.278971145
2006-09,7.94755967439656e-14,0.9999999999999205,3.2967375122884e-29,1.0,0,0,0,-1.281120519
2006-10,8.25060866140546e-14,0.9999999999999175,5.2738646607600014e-27,1.0,0,0,0,-1.30984315
2006-11,4.492867639327422e-15,0.9999999999999956,2.2947432475542083e-18,1.0,0,0,0,-0.980414273
2006-12,4.6425993380872256e-15,0.9999999999999953,1.065260655519038e-20,1.0,0,0,0,-1.217957829
2007-01,1.6747377560349023e-16,0.9999999999999998,1.4393940525483935e-18,1.0,0,0,0,-0.49750455
2007-02,4.74710188386488e-18,1.0,2.70745228994e-19,1.0,0,0,0,-1.39364077
2007-03,3.725847301828068e-14,0.9999999999999627,1.0402556976966576e-26,1.0,0,0,1,5.109939118
2007-04,2.3757077611453544e-15,0.9999999999999977,2.2556723750640736e-26,1.0,0,0,0,-0.7937061
2007-05,2.0639388252502563e-16,0.9999999999999998,5.006124775735781e-20,1.0,0,0,0,-1.4999958
2007-06,7.565472012463071e-13,0.9999999999992435,2.722230889288694e-26,1.0,0,0,0,-0.369289641
2007-07,1.340558306076888e-12,0.9999999999986595,1.711974709396047e-26,1.0,0,0,0,0.170922571
2007-08,7.912553673118618e-16,0.9999999999999992,0.0008681636042317605,0.9991318363957682,0,0,1,1.794778033
2007-09,1.0314024188693842e-13,0.9999999999998969,4.396178786514742e-27,1.0,0,0,0,-0.168063548
2007-10,1.750582800549497e-20,1.0,4.1165298716004283e-20,1.0,0,0,0,-1.440214684
2007-11,1.222518871566055e-17,1.0,2.7202055798481522e-18,1.0,0,0,1,0.779228304
2007-12,3.5481269463726265e-11,0.9999999999645188,2.600598729612734e-22,1.0,0,0,0,-0.282411619
2008-01,1.978728398539084e-26,1.0,4.028829863160399e-18,1.0,0,0,1,1.44067846
2008-02,0.9999999992725516,7.274484372646356e-10,8.666903702130525e-07,0.9999991333096299,1,0,1,0.563224538
2008-03,1.37342772083259e-16,0.9999999999999998,0.9999999925566884,7.443311666317054e-09,0,1,1,0.331992606
2008-04,3.2897029315559795e-22,1.0,1.0,3.52104096248873e-45,0,1,0,-1.07272704
