k,Unc_Full_R2,Unc_Full_RMSPE,Unc_Full_PE,Unc_D_R2,Unc_D_RMSPE,Unc_D_PE,Unc_S_R2,Unc_S_RMSPE,Unc_S_PE,Cond_D_R2,Cond_D_RMSPE,Cond_D_PE,Cond_S_R2,Cond_S_RMSPE,Cond_S_PE,TestStat_D,TestStat_S
1,0.7007192567447671,0.47770687032701137,0.07440741476127269,-0.9819391557534098,2.4628028586668944,-2.2163569758029675,0.5876173168814508,1.153292971927696,0.9721394056580694,0.8518299878159814,0.6733868767527135,0.04253738562846636,0.8640460508885499,0.6621941642547094,0.08432983575555121,-2.173819590174501,-0.8878095699025182
2,0.7004703016391364,0.47604956722265257,0.08212947315325034,-1.0065388769284165,2.468416320148804,-2.2086349174109894,0.5884726638527592,1.1476221177062456,0.9798614640500471,0.8601224797173119,0.6517313048348294,0.0034031776926991826,0.8670249315318201,0.6523560230320321,0.11050467907853842,-2.20523173971829,-0.8693567849715087
3,0.8973415653951806,0.27760445062479067,0.01877472830324301,-1.100412690322917,2.515612894877728,-2.271989662260997,0.6798213593870788,1.0083066210972373,0.9165067192000398,0.8898805515142318,0.5760013605726372,0.03596338457615633,0.9232861360093263,0.49355251572504905,0.07768874082727124,-2.2360262776848407,-0.8388179783727685
4,0.8972529166076871,0.2766287212683374,0.019939411477894436,-1.1165783469846429,2.5153132697710867,-2.2708249790863455,0.6773316738395213,1.0082262976521053,0.917671402374691,0.9158265591161556,0.5016056826710381,0.03856709032980789,0.9659666274362009,0.32744046387365117,0.02191986922855992,-2.2322578887565374,-0.8957515331461311
5,0.9286009568488719,0.22968278610275555,0.004461687408346149,-1.122074260056455,2.508562525778635,-2.286302703155894,0.6810834588179868,0.9983621542582464,0.9021936783051429,0.9398126075697661,0.4224714892252441,0.014367876664653504,0.9788601292312193,0.2570400226886797,0.0012775419080898658,-2.2719348264912407,-0.900916136397053
6,0.9285166656307852,0.22889720461858787,0.0048155881334354484,-1.1387978405795214,2.5083338905827968,-2.2859488024308043,0.6785282965734796,0.99833615311086,0.9025475790302321,0.9498790712371076,0.3839812628407985,0.00811431545559969,0.9802382961187256,0.2475241720971729,0.002194375810145503,-2.2778344869752045,-0.9003532032200866
