k,Unc_Full,Unc_D,Unc_S,Cond_D,Cond_S
1,0.860005095968493,-1.0589796643333815,0.667452835171183,0.9329739226240035,0.9460001637003848
2,0.8611923321593287,-1.0633714170444866,0.6696738767056337,0.9404658147345593,0.950920928325621
3,0.9425461698516286,-1.0655433125683,0.6968071065503071,0.9529760816516651,0.9532259288606262
4,0.9631142162413733,-1.0686369558578925,0.7047321032999471,0.9595369581527894,0.9877494829745831
5,0.9635754674697183,-1.0690447907060316,0.7050515011508398,0.9595726368195902,0.9896309240007441
6,0.9642922619943082,-1.067266382221025,0.7045381344335646,0.9597189735236564,0.989850554296555
