k,Unc_Full,Unc_D,Unc_S,Cond_D,Cond_S
1,0.07440741476127202,-2.0802155929559296,0.95986892478204,0.07228812760333689,0.053806886523734186
2,0.08212947315325025,-2.0724935345639515,0.9675909831740181,-0.0380334022475823,0.10768947816385867
3,0.018774728303242894,-2.1358482794139593,0.9042362383240108,0.027574028132443595,0.07204950919402946
4,0.0199394114778943,-2.134683596239307,0.9054009214986624,0.029605446075046202,0.02354628600227004
5,0.004461687408346041,-2.150161320308856,0.889923197429114,0.01439808418982514,0.0022107185751658845
6,0.0048155881334354484,-2.1498074195837664,0.8902770981542034,0.0147110461857659,0.0033435728691238883
