k,Unc_Full,Unc_D,Unc_S,Cond_D,Cond_S
1,0.26597347172806685,1.8351459721859407,0.7875351643866503,0.6666492622780241,0.4193215377613232
2,0.2805679394079803,1.833165430421086,0.7962219916792185,0.7955990552608425,0.5317100426062739
3,0.24130491863336123,1.834517291053492,0.7770625943717092,0.8683122014788089,0.5441941516410093
4,0.26620755826756937,1.841387692193053,0.7820991568853001,0.9068981710296228,0.5332397185934219
5,0.27882111897504475,1.8478253964654543,0.7824019834092605,0.9236601149486836,0.5342667723538793
6,0.2770200849083383,1.847202266040989,0.7820776223402923,0.9255796332567102,0.5375383387104785
