k,Unc_Full_R2,Unc_Full_RMSPE,Unc_Full_PE,Unc_D_R2,Unc_D_RMSPE,Unc_D_PE,Unc_S_R2,Unc_S_RMSPE,Unc_S_PE,Cond_D_R2,Cond_D_RMSPE,Cond_D_PE,Cond_S_R2,Cond_S_RMSPE,Cond_S_PE
1,0.8654312550394816,0.27874497400364473,0.034970961828068636,-0.9791742509871273,2.4309059807427,-2.2963820080999855,0.6803422601645481,0.8744007021791069,0.8167420176123263,0.9355718325998172,0.43859536240571395,0.043748522857153804,0.9480931806112225,0.3523547208496328,0.03574467246456969
2,0.8655300717793497,0.27756049966178115,0.037593425133388904,-0.9988910602618462,2.4334971309375266,-2.2937595447946655,0.6799965680585827,0.8714758029677199,0.8193644809176466,0.9423262580241043,0.4133570420570782,0.019223145410157867,0.9524546493154454,0.3359170461059498,0.04675547912903635
3,0.9439033469417476,0.17857079204854323,0.004859223016040363,-1.0167509508540884,2.4347775381857244,-2.3264937469120137,0.7039691434034493,0.8349171495497065,0.786630278800298,0.954086882872492,0.3673681834523257,0.013595611186823996,0.9543308281788792,0.3279340093981352,0.03810069679975575
4,0.9636997048724626,0.14308049692693464,0.005402082140920665,-1.035801448622053,2.436600185740731,-2.3259508877871333,0.7094188953110591,0.823933171981196,0.7871731379251783,0.9601792286583006,0.34077788057524483,0.011487371613391452,0.9879439356257802,0.16782671041965636,0.006939121501570603
5,0.9638668637299606,0.14218308244798727,0.004421375622574407,-1.0524924323803835,2.436840363576161,-2.3269315943054796,0.707411089141633,0.8234874179844907,0.786192431406832,0.9598960557250334,0.3406276053944971,0.011953843845832304,0.9897138766087382,0.15440234848021206,0.0020770165064137058
6,0.9642922619943082,0.14077712825029648,0.0036146372744330388,-1.067266382221025,2.4357928683174492,-2.327738332653621,0.7045381344335646,0.8242037587038611,0.7853856930586905,0.9597189735236564,0.34001055413617975,0.01149327336728406,0.989850554296555,0.1527583768912001,0.0027537153655180792
