k,Unc_Full,Unc_D,Unc_S,Cond_D,Cond_S
1,0.27874497400364473,2.4309059807426996,0.8744007021791071,0.43859536240571395,0.3523547208496328
2,0.27756049966178115,2.4334971309375266,0.8714758029677199,0.41335704205707813,0.33591704610594975
3,0.17857079204854323,2.4347775381857244,0.8349171495497064,0.3673681834523257,0.3279340093981352
4,0.14308049692693467,2.436600185740731,0.823933171981196,0.34077788057524483,0.16782671041965636
5,0.14218308244798727,2.436840363576161,0.8234874179844905,0.3406276053944971,0.15440234848021206
6,0.14077712825029648,2.4357928683174492,0.8242037587038611,0.34001055413617975,0.1527583768912001
