k,Unc_Full,Unc_D,Unc_S,Cond_D,Cond_S
1,0.08059811739140135,-1.7204979810934473,0.7637724995753093,0.5225617288583088,-0.1771075540109585
2,0.08557324182927634,-1.7155228566555722,0.7687476240131843,0.45852294823715095,-0.14926242324463188
3,0.04493017831106034,-1.7561659201737883,0.7281045604949683,0.4957940088444357,-0.15541883146266008
4,0.04634355432480847,-1.7547525441600402,0.7295179365087165,0.49776292391520494,-0.20579882971939614
5,0.041515305854924994,-1.7595807926299236,0.7246896880388329,0.49232350339695513,-0.2141869883110825
6,0.0411980769415082,-1.7598980215433404,0.7243724591254161,0.4920377091720361,-0.21335895402185645
