k,Unc_Full,Unc_D,Unc_S,Cond_D,Cond_S
1,0.03497096182806885,-2.2963820080999855,0.8167420176123265,0.043748522857154006,0.03574467246456904
2,0.037593425133388904,-2.2937595447946655,0.8193644809176466,0.019223145410157856,0.04675547912903634
3,0.004859223016040379,-2.3264937469120137,0.7866302788002981,0.013595611186823979,0.03810069679975574
4,0.005402082140920692,-2.3259508877871333,0.7871731379251784,0.011487371613391438,0.006939121501570603
5,0.004421375622574414,-2.3269315943054796,0.786192431406832,0.011953843845832295,0.0020770165064136997
6,0.0036146372744330388,-2.327738332653621,0.7853856930586905,0.01149327336728406,0.0027537153655180792
