k,Unc_Full,Unc_D,Unc_S,Cond_D,Cond_S
1,0.47770687032701137,2.440766877537317,1.1834282194209536,0.9091258459638076,0.6892742932441744
2,0.47604956722265257,2.4507832483951986,1.1739407691014316,0.6548877871678873,0.6421273857010154
3,0.27760445062479067,2.493882801286503,1.0390066129106994,0.5299754209181746,0.4450527191328748
4,0.2766287212683374,2.4937692853431703,1.0387513643772246,0.46223317600761277,0.3123721444590224
5,0.22968278610275558,2.4838810408505925,1.0323247681208747,0.40820781174026816,0.25562504453482454
6,0.22889720461858787,2.4837960143427407,1.0321626367684456,0.4005914690278429,0.24595525385898429
