k,Unc_Full_R2,Unc_Full_RMSPE,Unc_Full_PE,Unc_D_R2,Unc_D_RMSPE,Unc_D_PE,Unc_S_R2,Unc_S_RMSPE,Unc_S_PE,Cond_D_R2,Cond_D_RMSPE,Cond_D_PE,Cond_S_R2,Cond_S_RMSPE,Cond_S_PE
1,0.861225260809278,0.2659734717280668,0.08059811739140134,-1.1967103162727075,1.8351459721859407,-1.7204979810934473,0.6772526789041093,0.7875351643866503,0.7637724995753093,0.710114584780062,0.6666492622780241,0.5225617288583088,0.9085008464548585,0.4193215377613231,-0.1771075540109584
2,0.8443713316840007,0.28056793940798025,0.08557324182927632,-1.2090961465946775,1.833165430421086,-1.715522856655572,0.6675159509810312,0.7962219916792187,0.7687476240131843,0.5838979858340078,0.7955990552608425,0.45852294823715084,0.8517303700518766,0.5317100426062739,-0.14926242324463185
3,0.8839748566290534,0.2413049186333612,0.04493017831106034,-1.2297756487350964,1.834517291053492,-1.7561659201737883,0.6808309773962571,0.7770625943717094,0.7281045604949683,0.5004610499132127,0.8683122014788088,0.4957940088444356,0.8434631945803027,0.5441941516410093,-0.15541883146266
4,0.8576708995074325,0.2662075582675694,0.04634355432480846,-1.2643376983797956,1.841387692193053,-1.7547525441600398,0.67411412471631,0.7820991568853002,0.7295179365087165,0.4507528941766199,0.9068981710296228,0.49776292391520494,0.8485089822967699,0.5332397185934219,-0.205798829719396
5,0.8426144687240937,0.2788211189750447,0.04151530585492497,-1.2984397329547783,1.8478253964654543,-1.7595807926299236,0.6712526054223757,0.7824019834092606,0.7246896880388329,0.4257042025561366,0.9236601149486836,0.49232350339695513,0.8467082564134534,0.5342667723538793,-0.21418698831108243
6,0.8433882592598951,0.2770200849083383,0.0411980769415082,-1.3154131228442427,1.8472022660409892,-1.7598980215433404,0.6688761361955466,0.7820776223402923,0.7243724591254163,0.41866407179655796,0.9255796332567101,0.4920377091720359,0.8435737437273231,0.5375383387104784,-0.2133589540218563
