k,Unc_Full,Unc_D,Unc_S,Cond_D,Cond_S
1,0.8601494876372568,-1.2137390784143567,0.6747507616863118,0.7078674110186671,0.9077915506909425
2,0.8431649078986054,-1.226220922924869,0.6649385552522022,0.580672388824969,0.8505809930755346
3,0.8830754369129995,-1.247060731283431,0.678356798926461,0.49658865495129945,0.8422497309723981
4,0.856567573147025,-1.281890703793592,0.6715878776210878,0.4464951646741131,0.8473346333223262
5,0.8413944258459859,-1.3162570952257457,0.6687041760070455,0.4212522971495949,0.8455199483236351
6,0.8421742147580338,-1.3333620617810191,0.6663092845381478,0.41415759173296507,0.8423611370895504
