k,Unc_Full,Unc_D,Unc_S,Cond_D,Cond_S
1,0.6886514848393142,-1.0187420279684112,0.5603351792900698,0.719923782913582,0.8508504186776821
2,0.690808053304915,-1.0353449728748547,0.5673564376851299,0.8546677472676971,0.8705564962224697
3,0.8948578935902254,-1.1075617250927854,0.6610977136378408,0.9048213195658148,0.9378185574651766
4,0.8955957055852304,-1.1073698665079665,0.661264206680193,0.9275980191030274,0.9693674977917753
5,0.9280251581137822,-1.0906907975878384,0.6654426542380739,0.9435335031324388,0.9794862680008297
6,0.9285166656307852,-1.0905476658580628,0.6655477335253529,0.9456209501277217,0.9810089016309933
