date,d_D,d_S,adbear
2010-08,0.0,1.0,-1.537959681
2010-09,1.0,0.0,0.156748864
2010-10,0.0,1.0,-1.621399476
2010-11,0.0,1.0,-1.229874157
2010-12,0.0,1.0,-0.557445911
2011-01,0.0,1.0,-1.410342818
2011-02,0.0,1.0,-1.2105133
2011-03,0.0,1.0,-0.217719211
2011-04,0.0,1.0,-0.81867213
2011-05,0.0,1.0,-0.6052787
2011-06,1.0,0.0,1.142242148
2011-07,0.0,1.0,-1.010653909
2011-08,1.0,0.0,2.7624162
2011-09,1.0,0.0,0.943206783
2011-10,1.0,0.0,0.416669095
2011-11,0.0,1.0,-1.155176333
2011-12,0.0,1.0,-0.239740833
2012-01,0.0,1.0,-1.170163333
2012-02,0.0,1.0,-1.65237425
2012-03,0.0,1.0,-1.05174729
2012-04,0.0,1.0,-1.000631073
2012-05,1.0,0.0,0.18655856
2012-06,1.0,0.0,1.073738948
2012-07,0.0,1.0,-1.194585286
2012-08,0.0,1.0,-0.830056762
2012-09,0.0,1.0,-0.987983883
2012-10,0.0,1.0,-0.925795368
2012-11,1.0,0.0,0.590357933
2012-12,0.0,1.0,-0.382134895
2013-01,0.0,1.0,-1.01245183
2013-02,0.0,1.0,-1.631056
2013-03,0.0,1.0,-0.565266579
2013-04,0.0,1.0,-0.721234
2013-05,0.0,1.0,-0.880968455
2013-06,0.0,1.0,-0.123650709
2013-07,0.0,1.0,-0.1458965
2013-08,0.0,1.0,-1.801163364
2013-09,1.0,0.0,0.428039045
2013-10,0.0,1.0,-0.69533808
2013-11,0.0,1.0,-1.56781313
2013-12,0.0,1.0,-0.8535167
2014-01,0.0,1.0,-1.053139567
2014-02,1.0,0.0,1.779849324
2014-03,0.0,1.0,-1.804045316
2014-04,0.0,1.0,-0.504887629
2014-05,0.0,1.0,-0.57374619
2014-06,0.0,1.0,-1.476759905
2014-07,0.0,1.0,-1.347574462
2014-08,1.0,0.0,1.468407364
2014-09,0.0,1.0,-1.72034381
2014-10,1.0,0.0,0.59837949
2014-11,0.0,1.0,-0.532965404
2014-12,0.0,1.0,-1.204171789
2015-01,1.0,0.0,1.859633452
2015-02,0.0,1.0,-0.20314385
2015-03,0.0,1.0,-1.091320637
2015-04,1.0,0.0,0.128371636
2015-05,0.0,1.0,-0.71933091
2015-06,0.0,1.0,-0.4652108
2015-07,1.0,0.0,0.501780705
2015-08,0.0,1.0,-0.310995364
