k,Unc_Full,Unc_D,Unc_S,Cond_D,Cond_S
1,0.5039133791199506,-0.9641236727778033,0.6765150682659196,0.6373895584936808,0.8545659100494248
2,0.5335407712079636,-0.9791142340544723,0.6846327944736386,0.6347695554085719,0.8973992707619403
3,0.5922274185876535,-0.9727966031216142,0.6904408975067305,0.6498484599442053,0.8956491637970243
4,0.5660683938054452,-0.9977226044959362,0.6855970766074413,0.6744277156782978,0.8903795128259014
5,0.5533549018054933,-1.0155346788855595,0.6810851809351689,0.6970167621527419,0.8705943857429165
6,0.5175769491231546,-1.0461675649740694,0.6759048196745427,0.6662462472402627,0.8666778765026376
