k,Unc_Full,Unc_D,Unc_S,Cond_D,Cond_S
1,0.004425543040369415,0.017545700405071623,0.009467364571694519,0.006488067696290353,0.005840435088462837
2,0.004179947774452977,0.01755291246024053,0.009293319016307417,0.0064359739600488445,0.004818894584377198
3,0.0036920019080473347,0.01736741233251998,0.009154663158150843,0.006430042043093664,0.004673969242348387
4,0.0036265939001554077,0.01742168389946844,0.009065171962618948,0.005659972072460147,0.004512946910029819
5,0.003625526708144153,0.017410543194322503,0.009074948512673812,0.005633082394737153,0.004283096736678406
6,0.003539902232327261,0.0174506607631538,0.008986764754836172,0.005430921170613218,0.0042549201751135406
