k,Unc_Full,Unc_D,Unc_S,Cond_D,Cond_S
1,0.6733342899670232,-1.392134882458126,0.6053767999491677,0.6729041828856565,0.8498190614061281
2,0.7085848521848457,-1.3941018320872614,0.6197527318642686,0.6781357054290584,0.8977603713732248
3,0.7726503734657227,-1.3437672192430603,0.6310146276624027,0.6787287446202642,0.9038174888431979
4,0.7806345309802925,-1.3584382204422134,0.6381933831912732,0.75107253195961,0.9103304768252115
5,0.7807636166389922,-1.3554228673920137,0.6374125644900407,0.7534321475941199,0.9192318420914024
6,0.7909967946935752,-1.3662901568079926,0.6444250496722218,0.7708123332322598,0.9202910212248387
