k,Unc_Full,Unc_D,Unc_S,Cond_D,Cond_S
1,0.005667434647098977,0.014705410488430118,0.009690638379826371,0.008161755552473369,0.0074303717398414544
2,0.005550102365216793,0.014714826455318812,0.009577904033082712,0.00813687681343564,0.007188438182521258
3,0.005533002200472637,0.014763429590798335,0.009522345374069438,0.007984569944164886,0.007107178312879997
4,0.0055325417133072355,0.014774881742546563,0.009512384931401469,0.007914816041540998,0.007105681660540548
5,0.005359784930585997,0.015026358623809999,0.009141436875895166,0.007881738194735899,0.006225634556008204
6,0.0051710209573610855,0.014978235315008508,0.009015862565274393,0.007098340093802502,0.0062096004925048616
