k,Unc_Full,Unc_D,Unc_S,Cond_D,Cond_S
1,0.6437138614502254,-1.7153027898567386,0.6230167225742897,0.16356705812443328,0.7783649742077878
2,0.658313459955651,-1.7187811540414177,0.6317368418746336,0.16865853165645128,0.7925629176313801
3,0.6604157256807391,-1.7367711073440084,0.6359968272071826,0.1994895213704051,0.7972262494740092
4,0.6604722475063471,-1.7410186399326597,0.636757928883729,0.21341508639036877,0.7973116419717516
5,0.6813450925396418,-1.8351201013134575,0.6645357536176406,0.2199759884750232,0.844408968917773
6,0.703394991424837,-1.8169897092364224,0.6736888781073365,0.36732952361459625,0.8452093833460663
