k,Unc_Full,Unc_D,Unc_S,Cond_D,Cond_S
1,0.005141662460024272,0.02385921208935913,0.008777888514015621,0.010251604321984955,0.0058856731638796825
2,0.004966400969458844,0.023857077618481583,0.008633391342462663,0.010248617823234395,0.004924344028190541
3,0.004625309737998351,0.023725744201440507,0.008520043804315824,0.009995550287623821,0.004946727704094561
4,0.004752540918487527,0.023780976950469802,0.008552571981765712,0.009600322302739512,0.005050092282002865
5,0.0048024874960077,0.023791781983021804,0.008579471468354756,0.009224463892812161,0.005465120517726456
6,0.004971126539989876,0.02387581846662002,0.008614207058196979,0.009642746484299138,0.005524972636770008
