date,BM,MOM,HP,BASIS
1996-02-07,-0.0103457985752882,-0.0137679838346441,0.0046744858297301,0.0003605237422479
1996-02-14,-0.0184646820159682,0.0304705576177029,0.0051308651002504,0.0111902611264095
1996-02-21,-0.0021309968112873,0.0112882050419724,0.0222574325746125,0.0026973581883287
1996-02-28,-0.0031037022417544,-0.0115711723421848,0.00519822642575,-0.0011596704283596
1996-03-06,-0.0248062520376804,-0.0119040444288121,-0.023272456376468,0.0052099364578122
1996-03-13,-0.0094675055539387,0.0144412997264488,0.0100735793547948,-0.0182855461037887
1996-03-20,-0.0148516004576172,0.0159672603670529,0.009128346098949,0.0002891343316122
1996-03-27,0.0134340438348786,-0.0199433625720653,0.0436340934278959,0.0380041673930966
1996-04-03,-0.0300150284857266,-0.0051867597305536,-0.0195348213427803,-0.0045337259446937
1996-04-10,0.0088137687002065,0.0056969405131322,0.0434897129221059,0.0297373054289911
1996-04-17,-0.0122687037434206,-0.0085368878253527,-0.0149191909052241,-0.008827637033817
1996-04-24,-0.0077462600425946,0.0525115535002529,0.0289936839486626,-0.0066726440207269
1996-05-01,-0.003642668551859,-0.0412338750172492,-0.0145939101436262,-0.0010684312394303
1996-05-08,0.0089841744711685,-0.0531682960037276,-0.0063615814206831,0.0033862247160835
1996-05-15,-0.0070887589456095,0.0270734408478211,-0.0120272649716595,0.0118595467072777
1996-05-22,-0.0246670921577153,0.0159690159339173,-0.0176265406622808,0.0237930816941205
1996-05-29,0.0032285591542858,-0.0215525191535859,0.0019665094065768,-0.0057601488225614
1996-06-05,-0.0273442434680283,0.0085696880554959,-0.0027347729481818,-0.0012637667761675
1996-06-12,0.0077246818799579,0.0033166188858916,-0.0061492318496401,0.0267348718254543
1996-06-19,-0.0066663583040492,-0.0433625993786471,-0.0017465546953283,-0.0044895266801003
1996-06-26,-0.0078378620841193,-0.0008533217378261,-0.0057293798925683,0.0397897590103752
1996-07-03,0.0210248527726405,0.0386985377731713,0.027423803297989,-0.0077406962604167
