date,B1,B2,B3,M1,M2,M3,HP1,HP2,HP3,V1,V2,V3
1990-01-03,0.006191565032263591,0.007665216249037773,-0.004758726395669576,0.006789463721602258,-0.01973330654544179,0.022041897709471323,,,,,,
1990-01-10,-0.041120125822804256,-0.000838346514429695,0.02241124207213796,0.004875789947861435,0.025680240291967454,-0.050103260504924876,,,,,,
1990-01-17,-0.03443350290133799,-0.011142095590063532,-0.0072754264681276215,-0.013906087638145635,0.002511371639501262,-0.041456308960884765,,,,,,
1990-01-24,-0.0043140200880876145,-0.011540264838328072,0.005380179938274332,-0.011083721123257553,0.0028294288156342734,-0.002219812680518074,,,,,,
1990-01-31,-0.00018918058824871471,0.004520436259762252,-0.006300394952234033,-0.014147307371772324,-0.0034814764356698247,0.015659644526721656,,,,,,
1990-02-07,-0.001076959847903347,-0.0039389713048226015,0.005163730044340834,0.00798785114261123,0.0026879496347284515,-0.010528001885724796,,,,,,
1990-02-14,0.011276429622282607,0.019809889262562583,0.013160669660514148,0.023485695366829158,0.007982092244864649,0.012779200933665533,,,,,,
1990-02-21,-0.012149970201208369,0.01503814214787583,0.0023758888541012585,0.025095452794221953,-0.00945631655380227,-0.010375075439650962,,,,,,
1990-02-28,0.012142429617530395,-0.01391720995983005,-0.012494444004754872,0.007424035833752681,-0.020205104997490602,-0.0014881551833166068,,,,,,
1990-03-07,0.012961789179211838,-0.012515615513278622,0.02643178658352057,0.020910659758032475,0.0029074099830993516,0.0030598905083219574,,,,,,
1990-03-14,0.0002445817859741168,-0.018454090686948494,-0.010286081246390823,-0.004439054642872182,-0.004162482907344159,-0.019894052597148857,,,,,,
1990-03-21,0.024455752146660497,-0.006494627947420871,-0.0022603172582313764,0.019444069010139002,-0.0030615391100353557,-0.0006817229590953941,,,,,,
1990-03-28,-0.014516067399727963,-0.01494156068111038,-0.0020840663221496675,-0.014865004546475642,-0.01584810308545827,-0.0008285867710540977,,,,,,
1990-04-04,0.021874246196541165,0.014716180529734129,0.01457725142759909,0.027627679684339625,0.01747236547727371,0.006067632992261048,,,,,,
1990-04-11,-0.0001025643330339213,-0.012524123464116577,-0.008436232141851217,0.0032961865663400885,0.0072892083768333815,-0.031648314882175184,,,,,,
1990-04-18,0.005851111442712347,-0.009946097325891674,-0.022846934474597607,-0.012676398313022808,0.005264994618934863,-0.01953051666368899,,,,,,
1990-04-25,0.01898557659076039,0.004645156162843255,0.02180461526548188,0.008270602458819118,-0.0012589323066776181,0.03842367786694402,,,,,,
1990-05-02,0.006184199548284942,-0.0016748057502529326,0.0008573889404196872,0.012010271372257488,-0.008400944756542659,0.0012567167691516065,,,,,,
1990-05-09,0.014082087410072395,-0.006852942427014936,0.0035635493662532908,0.0073340362659691,0.007892150290583624,-0.002718116367753511,,,,,,
1990-05-16,0.0019401125203757838,-0.0015159291962444366,0.009306222470832876,0.014831845603752962,-0.007489743353925953,0.005773227413485389,,,,,,
1990-05-23,-0.039994388543358794,0.012418623987573778,-0.010622117336862288,-0.01849583462387037,-0.018608071946257607,-0.004103949737956866,,,,,,
1990-05-30,-0.0032202559033818984,-0.01005713400097062,-0.0057742377805970885,-0.016612162312767235,-0.006518924546138227,0.005950921470295111,,,,,,
1990-06-06,0.0023810099697085647,-0.025779527278137464,-0.035999674294895645,-0.012944434420458293,-0.04296891574655683,-0.004983916941709743,,,,,,
1990-06-13,0.003268042311156056,-0.0024081342815266255,-0.016498103420554924,-0.016595687599947388,0.0010009654668077556,0.00021170226253616357,,,,,,
1990-06-20,-0.01032046238704062,-0.017102267720110063,-0.0365926007007725,-0.022296840661389133,-0.030215724186865228,-0.01251949566218483,,,,,,
1990-06-27,0.007874363419537527,-0.0009418797118532218,0.002867359796945315,-0.003181865140924794,0.0024473741551670797,0.012790326751882995,,,,,,
1990-07-04,0.028404886858868977,0.01323842847667324,0.004164453123290737,0.004651756990152126,0.01676359725506888,0.023334549534754747,,,,,,
1990-07-11,-0.02031360590763755,-0.02212870103111984,-0.02086402503435894,-0.024199669049836867,0.006987734722594904,-0.04615222863552041,,,,,,
1990-07-18,0.01884972044005982,0.015098239551884099,0.0195152350174375,0.014092849330627997,0.03106073917450875,0.01701595631768812,,,,,,
1990-07-25,0.00416036605405807,-0.0041299858873558816,0.020454194238942763,0.014973731553186867,0.0045184192280917235,0.006836037989044371,,,,,,
1990-08-01,0.003078680718946934,0.013696492349931486,-0.01521339486640054,-0.026558751800498825,0.025117755084012927,0.006684780988347302,,,,,,
1990-08-08,0.02529375835144741,0.02670942398652257,0.034831213601704325,0.0257721645735961,0.06404537772293388,-0.002863288686759748,,,,,,
1990-08-15,0.009696762614124792,0.034289769489400275,-0.0047201443869854115,0.016798840783184627,0.027045919623917718,0.0018374627627768536,,,,,,
1990-08-22,0.018057040584305826,0.025325124216852384,0.04756407144289751,0.016599688663035437,0.10095489973155668,-0.016844606545802332,,,,,,
1990-08-29,-0.023098422592270112,-0.05119034483223422,-0.054474191455807106,-0.04115038321010251,-0.09819817070295082,0.0011757278367756324,,,,,,
1990-09-05,0.04589712080314691,0.0381524419786249,-0.012256333614059936,-0.023436874379122213,0.0010693173892304714,0.09741698410302659,,,,,,
1990-09-12,0.02604475339910319,-0.011181388599801969,-0.011028412639266988,-0.005074904716256252,0.014359084715011763,-0.0040490321591250145,,,,,,
1990-09-19,0.022480234486604838,0.019656832233277095,-0.0092322709454397,-0.017507051544761922,-0.00408956572244344,0.05741568207828307,,,,,,
1990-09-26,0.04801116651360793,0.05078795830833035,0.02983112952744761,0.004421153672413881,0.008390875218971607,0.09150562909341112,,,,,,
1990-10-03,-0.007286306657463945,-0.02282724023240382,-0.03370009110328162,-0.02996316300399891,-0.011372751904854603,-0.017992903435269363,,,,,,
1990-10-10,0.02212897988763293,-0.0009047549376434308,-0.016059002120740948,-0.006564800563821392,-0.0053606598266833705,0.021111292538712783,,,,,,
1990-10-17,-0.025935272300870022,-0.06177754700113959,-0.0400394963467184,-0.05092554406654547,-0.03407166220151097,-0.038255478628303585,,,,,,
1990-10-24,-0.03681693123998987,-0.025250620750784103,0.03540321003143845,0.019896761464428155,0.011468061975374724,-0.08730272654862556,,,,,,
1990-10-31,0.02972468511094168,0.022825132267909325,-0.03610245237111205,-0.02556345844877428,-0.0031061403400664623,0.04828492108022166,,,,,,
1990-11-07,0.016184028107344713,0.0018476724231963892,-0.01843949906732091,-0.0031551776463773257,-0.01188901782556419,0.010849138189013532,,,,,,
1990-11-14,-0.025039910074831955,-0.012103303284765166,-0.04082341177080526,-0.017945483017754053,-0.015916646702408683,-0.04433778580153943,,,,,,
1990-11-21,-0.020092704280889606,-0.008733402155135501,-0.009780722586826773,-0.02173343031928957,0.004548079409685919,-0.01642536859616401,,,,,,
1990-11-28,0.04427924869431762,0.019979673155340803,0.0001632561943686328,-0.004750062332895179,-0.0005160687164355661,0.0615408435227029,,,,,,
1990-12-05,-0.02868103770454327,-0.006370329304750122,-0.044735122330780155,-0.003122654922924279,0.0013994712304423412,-0.07988129787738084,,,,,,
1990-12-12,-0.025867907564915384,-0.007159543422015064,-0.005412122337707215,-0.0018739617347419215,0.008195308043009006,-0.03637487627589929,,,,,,
1990-12-19,0.0035756753892921384,0.003322256745385142,-0.013962023337511037,-0.024354124233908876,0.007745629735057166,0.015971174309803944,,,,,,
1990-12-26,0.012040330025355159,-0.007656317091476501,0.018427817309595126,0.016876690413852917,-0.006265924462919578,0.012368983540738707,,,,,,
1991-01-02,-0.026284601856271145,0.003118567434407685,-0.026303038574207224,-0.021150347736401738,0.0009002026338830975,-0.02647849113121392,,,,,,
1991-01-09,0.010141146037905058,-0.003904882872334053,-0.010097287668063434,-0.007117085715941559,0.0034743843796510537,0.0026919669844926363,,,,,,
1991-01-16,0.12347824862085637,-0.00022682802012784022,-0.005666445976010945,-0.004535995401373981,-0.001038549153770631,0.11973161177857723,,,,,,
1991-01-23,-0.16918825075260976,-0.020900840557112752,-0.008129910816375707,-0.021422299507543516,-0.00037838548629887114,-0.15103619426973494,,,,,,
1991-01-30,-0.00186075637851684,-0.007097143293491125,-0.017867792962450155,-0.015361880626731352,0.006827318847343571,-0.020276812054364064,,,,,,
1991-02-06,0.040237646616138746,0.002173456972536379,-0.004890394487775757,-0.020436512240104027,-0.002966515670319993,0.06125278739315633,,,,,,
1991-02-13,0.0020947546608756245,0.003846968788148069,0.005860747882267203,0.009281740335514163,-0.0017094411615166433,0.00780686236595426,,,,,,
1991-02-20,-0.022743045279324105,-0.00259560701270107,-0.006961027794482905,-0.0065522612261547574,-0.0026545647880731327,-0.024361881118207425,,,,,,
1991-02-27,-0.021769271946599927,0.016558661111836286,-0.011949403386265156,0.020426307649742927,-0.005542223101636957,-0.032840496640604386,,,,,,
1991-03-06,0.01881191113989313,0.01862142466608696,0.030145097522068426,0.02547442713776314,0.03985755619984561,0.0074571508697430155,,,,,,
1991-03-13,0.0001632407597837528,0.016105718629771566,-0.005119353232640025,0.01242488926954385,0.015041499566023298,-0.020582036082212856,,,,,,
1991-03-20,-0.010504714543468352,-0.023471148348985765,-0.0006067035662486453,-0.005647952057080003,-0.017440562893621375,-0.009226572240588411,,,,,,
1991-03-27,-0.0030468970047810018,-0.012721149188160617,-0.008736947075856372,-0.006645301226670223,-0.010246657548708349,-0.010009858449829014,,,,,,
1991-04-03,0.003153370825427025,0.028654632364586746,-0.0008177317422802394,0.02718175813634192,0.006631537609632516,-0.0025723627287458223,,,,,,
1991-04-10,0.03502525037685565,0.01058231381358594,-0.018766373340273576,-0.010644101212693102,0.013151137503759958,0.018946588571679315,,,,,,
1991-04-17,-0.0028857961969900314,0.007587916431179477,-0.015529239833552866,-0.0057447740172802565,0.0025564031394482234,-0.008625060110534072,,,,,,
1991-04-24,-0.010202809454696664,-0.007856693268711412,-0.0026949809909183053,-0.016225131270484035,-0.016919622168866284,0.010504613385531159,,,,,,
1991-05-01,0.004387495281273769,-0.00723431263382311,-0.03273811302068318,-0.0145940699555516,-0.02060643889550297,-0.0044286329594910995,,,,,,
1991-05-08,0.018298033230616455,-0.012150154577418557,-0.01455074763259094,-0.01320796374288218,-0.011703484565004061,0.012626163458357681,,,,,,
1991-05-15,-0.014816819831915962,0.0017860684334681956,0.0052390114280743555,0.007757441875499601,-0.00807677930048418,-0.005883475798705934,,,,,,
1991-05-22,0.00898770658893663,-0.0067209582631826735,0.025970411955401826,0.004700644121792703,0.02100517237014743,0.0054612273099889225,,,,,,
1991-05-29,0.0051331978582302195,-0.005993557279664425,-0.0034713142604433367,-0.01132297170228642,0.005857648599263378,0.0005580289609468936,,,,,,
1991-06-05,0.013089418417667737,-0.008406704436339951,0.0030857258134435323,0.016713750961111242,-0.00306255612303303,-0.00476169493621309,,,,,,
1991-06-12,0.002070055560772174,-0.0018408906805810834,-0.019850830744692877,0.01398328680162908,-0.023661854187081808,-0.011181565012254535,,,,,,
1991-06-19,0.025085407050246804,-0.013384293088163326,-0.015024089899965856,0.0018542143201550423,-0.004969966130907515,-0.0020593323487343995,,,,,,
1991-06-26,-0.00378209558509495,-0.01038542267449895,-0.016020839952618868,-0.011753803111927388,-0.010826176515513477,-0.008659936255752773,,,,,,
1991-07-03,-0.024935666184674514,0.005065976562234287,-0.016772053838175677,-0.020443004616268516,-0.015765074677484576,-0.0024759628757769214,,,,,,
