date,BM,MOM,HP,BASIS
1995-07-05,0.008240795208364078,-0.019363395407644184,0.0362468992903805,0.007770071587837636
1995-07-12,0.006525463360824234,-0.020064607437498782,0.024945579012867303,-0.01072270831445012
1995-07-19,-0.012350251522307632,0.025811951895104282,-0.0321277113919423,0.028186168349678763
1995-07-26,-0.007774013905362427,-0.028693112036195973,-0.010562322873798264,0.012349440293332308
1995-08-02,-0.00486869004276765,-0.01903498271828874,-0.010327767486029503,-0.01330747672501462
1995-08-09,-0.002238078487055287,-0.015211089437087797,0.004606858682124562,-0.0022712929578923412
1995-08-16,0.026120565913871255,-0.033795877015202314,-0.0016045022459054148,-0.01505294510533047
1995-08-23,0.0052833878593941865,-0.02201276002223175,0.004793467771034488,-0.00010346226394582561
1995-08-30,-0.006603508625862569,0.018096495326668,0.011520273497616852,-0.003178396011952735
1995-09-06,-0.004214558418077161,0.0004657088284032093,-0.007957070232289705,0.0108319997959432
1995-09-13,-0.013846644647432085,0.014900919354436205,-0.003542328745480921,0.004284060961127052
1995-09-20,0.005153084863605727,-0.01877215952660679,0.025421096719688754,-0.018600611090187943
1995-09-27,-0.001424718966439361,-0.0030947469265423314,0.04222317901730935,-0.03589483344440481
1995-10-04,-0.0027092357622404695,0.011872816680427428,0.01617450860640194,-0.004166286945403006
1995-10-11,0.0208241276823271,0.0004887303074393185,0.01273247169840141,-0.00904047056270713
1995-10-18,-0.008931738037961467,-0.017869857686455264,-0.007523602727544347,-0.0022521849358956023
1995-10-25,-0.0040795405942707,-0.03803700761413677,0.020988470700529956,-0.007475411829754143
1995-11-01,0.0014536915046347541,0.002908938193462096,0.013443903219350847,0.01544435924918022
1995-11-08,-0.017820706909892056,-0.021569937181002093,-0.006457385557657179,-0.008035515856218589
1995-11-15,-0.0206765140268569,0.047129124123767796,0.0005938866171760586,0.007165997167760373
1995-11-22,-0.004291932424682945,-0.02340842738919316,-0.005406068108725281,-0.007460883926164781
1995-11-29,-0.0040976884676620935,0.024140457036997083,0.004381518444659678,0.0027848507338341013
1995-12-06,-0.029127838439141743,0.028288794092310835,-0.0007456493589833024,0.029895415703532505
1995-12-13,-0.0014885411393937764,-0.018656167045711762,-0.0022025213475778673,0.01808424138379141
1995-12-20,0.05098545643058316,0.0059065296422889536,0.003187511888684748,0.0034751561335221587
1995-12-27,-0.004811784639582182,0.0011784186462193494,-0.007852000337712134,0.003330624876214194
1996-01-03,0.006036426477205571,-0.06866901951159356,0.01698869522490504,-0.01600347688300479
1996-01-10,0.02157469584438275,-0.03868968112144143,0.031220668356566804,0.015318877301998848
1996-01-17,0.004802325781460448,0.0422846183914634,-0.01331052368090524,-0.009219198467559626
