date,CUR1,CUR2,CUR3,rCURR
1996-02-07,-0.0011768825983618184,0.0003404015295944455,0.0074383465591536775,0.008615229157515496
1996-02-14,-0.0045665795905927035,-0.001068655939483843,0.0006220331679578877,0.005188612758550591
1996-02-21,-0.0022739404882036055,-0.031733271035654924,-0.0005488524025346618,0.0017250880856689438
1996-02-28,-0.0016059534514636263,0.011251684624779278,0.00019142465651205928,0.0017973781079756856
1996-03-06,-0.001926966537320073,-0.005650749020125331,-0.0002003532851497581,0.001726613252170315
1996-03-13,-0.0005398066583449474,-0.005544755036716526,0.00610836671882166,0.006648173377166607
1996-03-20,0.0026333217622826937,-0.004149749236019316,-0.00032656032339830037,-0.002959882085680994
1996-03-27,-0.0022818743379028816,-0.005875930368779599,-0.002021332526700672,0.00026054181120220956
1996-04-03,0.0031908298265233828,-0.010067226964599118,0.001811547949939118,-0.0013792818765842648
1996-04-10,-0.0014772202057066583,-0.008135157843034913,-0.0004612797991717729,0.0010159404065348855
1996-04-17,0.003139260537639405,-0.004200267359497658,0.00013521515232851043,-0.0030040453853108946
1996-04-24,-0.0028778730462588387,-0.005087495989330688,-0.0036678344998949284,-0.0007899614536360897
1996-05-01,-0.0011434434459031656,-0.005945729556123913,0.0009507075419978039,0.0020941509879009697
1996-05-08,-0.00881358453345141,-0.00896565198788373,0.006440099345008126,0.015253683878459537
1996-05-15,-0.00019078845609279938,0.008977016990762974,-0.004040602517236948,-0.0038498140611441484
1996-05-22,-0.0012044476189433406,-0.0054502039690693385,-0.006047646771725934,-0.004843199152782593
1996-05-29,-0.0018321056397130582,-0.004906799951571672,0.001137312686362396,0.0029694183260754545
1996-06-05,-0.0035104613580480924,-0.0032794962523615785,-0.003360982681148375,0.00014947867689971747
1996-06-12,-0.008414645460003315,0.003514265243994388,-0.003209561302390422,0.005205084157612894
1996-06-19,0.002198910651733327,1.2918896149510068e-05,0.0006164423949530857,-0.0015824682567802415
1996-06-26,-0.0039383144710988666,-0.0010995450483107917,0.0011412510618148855,0.0050795655329137525
1996-07-03,-0.000996172551696324,-0.0012074439192773564,-0.002299864083695465,-0.001303691531999141
1996-07-10,-0.0034080958906790573,-0.001916765260943245,0.005775354857226971,0.009183450747906028
1996-07-17,-0.0018614162852123532,-0.002915768749622365,0.0014166971158472055,0.003278113401059559
1996-07-24,-0.0006286096674041696,-0.004749180366246356,0.0020506458920414765,0.0026792555594456462
1996-07-31,-0.004033477528949514,-0.011581812820858715,-0.008791679749131616,-0.004758202220182102
1996-08-07,0.002391412981407483,-0.0010719399980178897,-0.00041080419302650165,-0.0028022171744339847
1996-08-14,-0.001939587079382276,-0.00508498855623098,1.471148230564696e-05,0.001954298561687923
1996-08-21,-5.9640258445377964e-05,-0.002289379629003374,0.00384588087121624,0.003905521129661618
1996-08-28,-0.0009453615280843653,0.004022249282685435,-0.0002925091445894535,0.0006528523834949118
1996-09-04,-0.0055382972537312836,-0.0008023433216534444,-0.0008412216116419748,0.004697075642089309
1996-09-11,-0.0018373604895055118,-0.002182322946676066,0.003002991472612953,0.0048403519621184644
1996-09-18,0.00020893635832952779,0.0008588588128820307,-0.003981140584132797,-0.004190076942462324
1996-09-25,-0.0037596635115472073,-0.001981718341747939,-0.0017534874387615867,0.0020061760727856206
1996-10-02,-0.001682381134593022,-0.004560145534687466,-0.0003184490709174573,0.0013639320636755648
1996-10-09,-0.004473589530043995,-0.002569520327580942,-0.0075112107869685285,-0.0030376212569245336
1996-10-16,-0.009824545117361206,-0.004303496447645286,0.0014653486656844713,0.011289893783045677
1996-10-23,-0.0012653356637510277,-0.001238522303037201,0.004644730906490904,0.005910066570241931
1996-10-30,-0.0041116146647234,-0.008405966282151935,-0.006438671418282334,-0.002327056753558934
1996-11-06,-0.0011174319481765298,0.0004445525532429573,0.0012112160250104006,0.0023286479731869304
1996-11-13,-0.0014129289714532828,0.002379026478187524,-0.003620428581013983,-0.0022074996095607004
1996-11-20,0.00038993424010335233,-0.00037954033118538753,0.0025126455386335453,0.002122711298530193
1996-11-27,-0.004423882095586648,0.0012051161415515613,0.0007532862511929884,0.005177168346779636
1996-12-04,-0.0004026096116710601,-0.01158386762768246,-0.004789990214950692,-0.004387380603279632
