year,month,port_label,n_stocks
1990,7,BM_Q1,85
1990,7,BM_Q10,86
1990,7,BM_Q2,86
1990,7,BM_Q3,86
1990,7,BM_Q4,86
1990,7,BM_Q5,86
1990,7,BM_Q6,86
1990,7,BM_Q7,86
1990,7,BM_Q8,86
1990,7,BM_Q9,86
1990,7,MOM_BM_1_1,33
1990,7,MOM_BM_1_2,29
1990,7,MOM_BM_1_3,20
1990,7,MOM_BM_1_4,28
1990,7,MOM_BM_1_5,58
1990,7,MOM_BM_2_1,23
1990,7,MOM_BM_2_2,33
1990,7,MOM_BM_2_3,39
1990,7,MOM_BM_2_4,30
1990,7,MOM_BM_2_5,43
1990,7,MOM_BM_3_1,16
1990,7,MOM_BM_3_2,24
1990,7,MOM_BM_3_3,44
1990,7,MOM_BM_3_4,54
1990,7,MOM_BM_3_5,30
1990,7,MOM_BM_4_1,25
1990,7,MOM_BM_4_2,41
1990,7,MOM_BM_4_3,39
1990,7,MOM_BM_4_4,42
1990,7,MOM_BM_4_5,21
1990,7,MOM_BM_5_1,71
1990,7,MOM_BM_5_2,41
1990,7,MOM_BM_5_3,26
1990,7,MOM_BM_5_4,14
1990,7,MOM_BM_5_5,17
1990,7,MOM_Q1,84
1990,7,MOM_Q10,85
1990,7,MOM_Q2,84
1990,7,MOM_Q3,84
1990,7,MOM_Q4,84
1990,7,MOM_Q5,84
1990,7,MOM_Q6,84
1990,7,MOM_Q7,84
1990,7,MOM_Q8,84
1990,7,MOM_Q9,84
1990,8,BM_Q1,85
1990,8,BM_Q10,86
1990,8,BM_Q2,86
1990,8,BM_Q3,86
1990,8,BM_Q4,86
1990,8,BM_Q5,86
1990,8,BM_Q6,86
1990,8,BM_Q7,86
1990,8,BM_Q8,86
1990,8,BM_Q9,86
1990,8,MOM_BM_1_1,30
1990,8,MOM_BM_1_2,28
1990,8,MOM_BM_1_3,24
1990,8,MOM_BM_1_4,25
1990,8,MOM_BM_1_5,60
1990,8,MOM_BM_2_1,23
1990,8,MOM_BM_2_2,36
1990,8,MOM_BM_2_3,37
1990,8,MOM_BM_2_4,35
1990,8,MOM_BM_2_5,36
1990,8,MOM_BM_3_1,21
1990,8,MOM_BM_3_2,23
1990,8,MOM_BM_3_3,42
1990,8,MOM_BM_3_4,51
1990,8,MOM_BM_3_5,30
1990,8,MOM_BM_4_1,31
1990,8,MOM_BM_4_2,35
1990,8,MOM_BM_4_3,34
1990,8,MOM_BM_4_4,41
1990,8,MOM_BM_4_5,26
1990,8,MOM_BM_5_1,62
1990,8,MOM_BM_5_2,45
1990,8,MOM_BM_5_3,30
1990,8,MOM_BM_5_4,15
1990,8,MOM_BM_5_5,16
1990,8,MOM_Q1,83
1990,8,MOM_Q10,84
1990,8,MOM_Q2,84
1990,8,MOM_Q3,83
1990,8,MOM_Q4,84
1990,8,MOM_Q5,84
1990,8,MOM_Q6,83
1990,8,MOM_Q7,84
1990,8,MOM_Q8,83
1990,8,MOM_Q9,84
1990,9,BM_Q1,85
1990,9,BM_Q10,86
1990,9,BM_Q2,86
1990,9,BM_Q3,86
1990,9,BM_Q4,86
1990,9,BM_Q5,86
1990,9,BM_Q6,86
1990,9,BM_Q7,86
1990,9,BM_Q8,86
1990,9,BM_Q9,86
1990,9,MOM_BM_1_1,37
1990,9,MOM_BM_1_2,29
1990,9,MOM_BM_1_3,19
1990,9,MOM_BM_1_4,30
1990,9,MOM_BM_1_5,52
1990,9,MOM_BM_2_1,21
1990,9,MOM_BM_2_2,33
1990,9,MOM_BM_2_3,44
1990,9,MOM_BM_2_4,28
1990,9,MOM_BM_2_5,42
1990,9,MOM_BM_3_1,27
1990,9,MOM_BM_3_2,37
1990,9,MOM_BM_3_3,35
1990,9,MOM_BM_3_4,46
1990,9,MOM_BM_3_5,22
1990,9,MOM_BM_4_1,27
1990,9,MOM_BM_4_2,28
1990,9,MOM_BM_4_3,42
1990,9,MOM_BM_4_4,42
1990,9,MOM_BM_4_5,29
1990,9,MOM_BM_5_1,55
1990,9,MOM_BM_5_2,41
1990,9,MOM_BM_5_3,27
1990,9,MOM_BM_5_4,22
1990,9,MOM_BM_5_5,23
1990,9,MOM_Q1,83
1990,9,MOM_Q10,84
1990,9,MOM_Q2,84
1990,9,MOM_Q3,84
1990,9,MOM_Q4,84
1990,9,MOM_Q5,84
1990,9,MOM_Q6,83
1990,9,MOM_Q7,84
1990,9,MOM_Q8,84
1990,9,MOM_Q9,84
1990,10,BM_Q1,85
1990,10,BM_Q10,86
1990,10,BM_Q2,86
1990,10,BM_Q3,86
1990,10,BM_Q4,86
1990,10,BM_Q5,86
1990,10,BM_Q6,86
1990,10,BM_Q7,86
1990,10,BM_Q8,86
1990,10,BM_Q9,86
1990,10,MOM_BM_1_1,46
1990,10,MOM_BM_1_2,32
1990,10,MOM_BM_1_3,17
1990,10,MOM_BM_1_4,30
1990,10,MOM_BM_1_5,42
1990,10,MOM_BM_2_1,22
1990,10,MOM_BM_2_2,38
1990,10,MOM_BM_2_3,39
1990,10,MOM_BM_2_4,28
1990,10,MOM_BM_2_5,41
1990,10,MOM_BM_3_1,23
1990,10,MOM_BM_3_2,31
1990,10,MOM_BM_3_3,40
1990,10,MOM_BM_3_4,37
1990,10,MOM_BM_3_5,36
1990,10,MOM_BM_4_1,29
1990,10,MOM_BM_4_2,24
1990,10,MOM_BM_4_3,39
1990,10,MOM_BM_4_4,51
1990,10,MOM_BM_4_5,25
1990,10,MOM_BM_5_1,47
1990,10,MOM_BM_5_2,43
1990,10,MOM_BM_5_3,32
1990,10,MOM_BM_5_4,22
1990,10,MOM_BM_5_5,24
1990,10,MOM_Q1,83
1990,10,MOM_Q10,84
1990,10,MOM_Q2,84
1990,10,MOM_Q3,84
1990,10,MOM_Q4,84
1990,10,MOM_Q5,84
1990,10,MOM_Q6,83
1990,10,MOM_Q7,84
1990,10,MOM_Q8,84
1990,10,MOM_Q9,84
1990,11,BM_Q1,85
1990,11,BM_Q10,86
1990,11,BM_Q2,86
1990,11,BM_Q3,86
1990,11,BM_Q4,86
1990,11,BM_Q5,86
1990,11,BM_Q6,86
1990,11,BM_Q7,86
1990,11,BM_Q8,86
1990,11,BM_Q9,86
1990,11,MOM_BM_1_1,45
1990,11,MOM_BM_1_2,31
1990,11,MOM_BM_1_3,22
1990,11,MOM_BM_1_4,28
1990,11,MOM_BM_1_5,41
1990,11,MOM_BM_2_1,25
1990,11,MOM_BM_2_2,35
1990,11,MOM_BM_2_3,37
1990,11,MOM_BM_2_4,30
1990,11,MOM_BM_2_5,40
1990,11,MOM_BM_3_1,23
1990,11,MOM_BM_3_2,42
1990,11,MOM_BM_3_3,39
1990,11,MOM_BM_3_4,34
1990,11,MOM_BM_3_5,30
1990,11,MOM_BM_4_1,27
1990,11,MOM_BM_4_2,22
1990,11,MOM_BM_4_3,39
1990,11,MOM_BM_4_4,51
1990,11,MOM_BM_4_5,28
1990,11,MOM_BM_5_1,47
1990,11,MOM_BM_5_2,37
1990,11,MOM_BM_5_3,31
1990,11,MOM_BM_5_4,24
1990,11,MOM_BM_5_5,29
1990,11,MOM_Q1,83
1990,11,MOM_Q10,84
1990,11,MOM_Q2,84
1990,11,MOM_Q3,84
1990,11,MOM_Q4,83
1990,11,MOM_Q5,84
1990,11,MOM_Q6,84
1990,11,MOM_Q7,83
1990,11,MOM_Q8,84
1990,11,MOM_Q9,84
1990,12,BM_Q1,85
1990,12,BM_Q10,86
1990,12,BM_Q2,86
1990,12,BM_Q3,86
1990,12,BM_Q4,86
1990,12,BM_Q5,86
1990,12,BM_Q6,86
1990,12,BM_Q7,86
1990,12,BM_Q8,86
1990,12,BM_Q9,86
1990,12,MOM_BM_1_1,49
1990,12,MOM_BM_1_2,28
1990,12,MOM_BM_1_3,21
1990,12,MOM_BM_1_4,27
1990,12,MOM_BM_1_5,41
1990,12,MOM_BM_2_1,25
1990,12,MOM_BM_2_2,37
1990,12,MOM_BM_2_3,39
1990,12,MOM_BM_2_4,28
1990,12,MOM_BM_2_5,38
1990,12,MOM_BM_3_1,22
1990,12,MOM_BM_3_2,45
1990,12,MOM_BM_3_3,38
1990,12,MOM_BM_3_4,31
1990,12,MOM_BM_3_5,30
1990,12,MOM_BM_4_1,21
1990,12,MOM_BM_4_2,27
1990,12,MOM_BM_4_3,38
1990,12,MOM_BM_4_4,51
1990,12,MOM_BM_4_5,30
1990,12,MOM_BM_5_1,49
1990,12,MOM_BM_5_2,30
1990,12,MOM_BM_5_3,30
1990,12,MOM_BM_5_4,30
1990,12,MOM_BM_5_5,28
1990,12,MOM_Q1,83
1990,12,MOM_Q10,84
1990,12,MOM_Q2,83
1990,12,MOM_Q3,83
1990,12,MOM_Q4,84
1990,12,MOM_Q5,83
1990,12,MOM_Q6,83
1990,12,MOM_Q7,84
1990,12,MOM_Q8,83
1990,12,MOM_Q9,83
1991,1,BM_Q1,85
1991,1,BM_Q10,86
1991,1,BM_Q2,86
1991,1,BM_Q3,86
1991,1,BM_Q4,86
1991,1,BM_Q5,86
1991,1,BM_Q6,86
1991,1,BM_Q7,86
1991,1,BM_Q8,86
1991,1,BM_Q9,86
1991,1,MOM_BM_1_1,52
1991,1,MOM_BM_1_2,24
1991,1,MOM_BM_1_3,22
1991,1,MOM_BM_1_4,27
1991,1,MOM_BM_1_5,41
1991,1,MOM_BM_2_1,22
1991,1,MOM_BM_2_2,48
1991,1,MOM_BM_2_3,34
1991,1,MOM_BM_2_4,25
1991,1,MOM_BM_2_5,37
1991,1,MOM_BM_3_1,28
1991,1,MOM_BM_3_2,42
1991,1,MOM_BM_3_3,42
1991,1,MOM_BM_3_4,30
1991,1,MOM_BM_3_5,24
1991,1,MOM_BM_4_1,18
1991,1,MOM_BM_4_2,21
1991,1,MOM_BM_4_3,43
1991,1,MOM_BM_4_4,53
1991,1,MOM_BM_4_5,31
1991,1,MOM_BM_5_1,46
1991,1,MOM_BM_5_2,31
1991,1,MOM_BM_5_3,25
1991,1,MOM_BM_5_4,31
1991,1,MOM_BM_5_5,33
1991,1,MOM_Q1,83
1991,1,MOM_Q10,83
1991,1,MOM_Q2,83
1991,1,MOM_Q3,83
1991,1,MOM_Q4,83
1991,1,MOM_Q5,83
1991,1,MOM_Q6,83
1991,1,MOM_Q7,83
1991,1,MOM_Q8,83
1991,1,MOM_Q9,83
1991,2,BM_Q1,85
1991,2,BM_Q10,86
1991,2,BM_Q2,86
1991,2,BM_Q3,86
1991,2,BM_Q4,86
1991,2,BM_Q5,86
1991,2,BM_Q6,86
1991,2,BM_Q7,86
1991,2,BM_Q8,86
1991,2,BM_Q9,86
1991,2,MOM_BM_1_1,55
1991,2,MOM_BM_1_2,27
1991,2,MOM_BM_1_3,17
1991,2,MOM_BM_1_4,25
1991,2,MOM_BM_1_5,41
1991,2,MOM_BM_2_1,22
1991,2,MOM_BM_2_2,51
1991,2,MOM_BM_2_3,35
1991,2,MOM_BM_2_4,19
1991,2,MOM_BM_2_5,39
1991,2,MOM_BM_3_1,18
1991,2,MOM_BM_3_2,32
1991,2,MOM_BM_3_3,44
1991,2,MOM_BM_3_4,44
1991,2,MOM_BM_3_5,27
1991,2,MOM_BM_4_1,19
1991,2,MOM_BM_4_2,17
1991,2,MOM_BM_4_3,41
1991,2,MOM_BM_4_4,56
1991,2,MOM_BM_4_5,33
1991,2,MOM_BM_5_1,51
1991,2,MOM_BM_5_2,39
1991,2,MOM_BM_5_3,28
1991,2,MOM_BM_5_4,22
1991,2,MOM_BM_5_5,26
1991,2,MOM_Q1,82
1991,2,MOM_Q10,83
1991,2,MOM_Q2,83
1991,2,MOM_Q3,83
1991,2,MOM_Q4,83
1991,2,MOM_Q5,83
1991,2,MOM_Q6,82
1991,2,MOM_Q7,83
1991,2,MOM_Q8,83
1991,2,MOM_Q9,83
1991,3,BM_Q1,85
1991,3,BM_Q10,86
1991,3,BM_Q2,86
1991,3,BM_Q3,86
1991,3,BM_Q4,86
1991,3,BM_Q5,86
1991,3,BM_Q6,86
1991,3,BM_Q7,86
1991,3,BM_Q8,86
1991,3,BM_Q9,86
1991,3,MOM_BM_1_1,50
1991,3,MOM_BM_1_2,24
1991,3,MOM_BM_1_3,19
1991,3,MOM_BM_1_4,28
1991,3,MOM_BM_1_5,43
1991,3,MOM_BM_2_1,26
1991,3,MOM_BM_2_2,48
1991,3,MOM_BM_2_3,33
1991,3,MOM_BM_2_4,23
1991,3,MOM_BM_2_5,35
1991,3,MOM_BM_3_1,17
1991,3,MOM_BM_3_2,36
1991,3,MOM_BM_3_3,54
1991,3,MOM_BM_3_4,35
1991,3,MOM_BM_3_5,23
1991,3,MOM_BM_4_1,16
1991,3,MOM_BM_4_2,20
1991,3,MOM_BM_4_3,29
1991,3,MOM_BM_4_4,60
1991,3,MOM_BM_4_5,40
1991,3,MOM_BM_5_1,55
1991,3,MOM_BM_5_2,37
1991,3,MOM_BM_5_3,30
1991,3,MOM_BM_5_4,19
1991,3,MOM_BM_5_5,24
1991,3,MOM_Q1,82
1991,3,MOM_Q10,83
1991,3,MOM_Q2,82
1991,3,MOM_Q3,83
1991,3,MOM_Q4,82
1991,3,MOM_Q5,83
1991,3,MOM_Q6,82
1991,3,MOM_Q7,82
1991,3,MOM_Q8,83
1991,3,MOM_Q9,82
1991,4,BM_Q1,85
1991,4,BM_Q10,86
1991,4,BM_Q2,86
1991,4,BM_Q3,86
1991,4,BM_Q4,86
1991,4,BM_Q5,86
1991,4,BM_Q6,86
1991,4,BM_Q7,86
1991,4,BM_Q8,86
1991,4,BM_Q9,86
1991,4,MOM_BM_1_1,47
1991,4,MOM_BM_1_2,31
1991,4,MOM_BM_1_3,20
