date,WTI Crude Oil,Brent Crude Oil,Natural Gas,Heating Oil,Gasoline RBOB,Gas Oil,Gold,Silver,Copper,Platinum,Palladium,Aluminium,Corn,Wheat CBOT,Wheat KC,Soybeans,Soybean Oil,Soybean Meal,Cotton,Sugar No11,Coffee,Cocoa,Live Cattle,Lean Hogs,Feeder Cattle,Lumber,Nickel
1990-01-03,0.0910949849588556,0.0858255844747986,,-0.16353539514487248,,0.0741382839519944,-0.019695411753738457,-0.01944043409090246,0.025338405328423796,-0.07135565945858413,-0.006918780679775138,,-0.008909185256561925,0.021304726933760065,0.012247483008879012,-0.0022780486967282076,,,-0.01564663710985381,0.06939380548685592,0.011032087149123404,-0.011209222415680342,0.0003376146527644952,0.013022657348521038,-0.0010756129097451161,-0.019984861578111746,
1990-01-10,-0.02535994859418489,-0.03512001279272925,,-0.12655986952155418,,-0.1841273107804554,0.043961285119021865,0.027477074403722712,-0.01344661430769889,0.05462569750660995,0.01755441510529354,,-0.009467743550828911,0.0002568755432201808,0.0003525694767514409,-0.006684832293835097,,,-0.05656738294525421,0.021658293712141452,0.0034748606612908794,0.059645414106130445,0.002003459927575113,0.05535340738756234,0.0005127456180920031,0.033627004363457,
1990-01-17,-0.026350416402394106,-0.06860204526279401,,-0.07916683163723326,,-0.10086455367687985,-0.0020743846390710585,-0.011593888800665808,-0.03860905415455518,-0.006411186160100946,-0.013117363380754199,,0.007100819153557758,0.0002489502019569212,0.0051369139870725,-0.02327690709651853,,,0.016599618469793853,-0.018011930987979263,-0.05283152394069657,0.00488818838216365,0.016011049307218528,-0.013798003228706723,-0.002849180222798231,0.03761455537268055,
1990-01-24,-0.014286690701045157,0.008455369673497026,,-0.00544141795102282,,-0.014934108203357832,0.009437296626360725,-0.009563487329770859,-0.050896623047484546,0.005841639136984433,-0.004303521456327508,,-0.010216915614010835,-0.013109701787886285,-0.008402959634537854,0.009134088814519048,,,-0.019714396405099754,0.037600799224290604,0.017030782136274958,-0.02112471872967736,0.01045292168758305,-0.007218244400888585,0.008545568445070595,-0.0006044154004605229,
1990-01-31,0.058004345033241034,0.045976123027889004,,-0.0055647365113603575,,0.011885468947740119,-0.013663795936368794,-0.006199144396383693,0.0037246190226596365,0.0009272339173069799,0.001718727578559509,,-0.01723712361120444,-0.03290591028105072,-0.03462592923599872,-0.015488338182675032,,,0.010200339503206202,-0.009416711593767557,-0.011926065854982237,0.00942759654084524,0.015378036654936533,-0.0014673167198968606,-0.02214203698657813,-0.0003893558811611797,
1990-02-07,-0.009792486350791885,-0.01383614564457225,,-0.04722201947022664,,-0.028207185959140513,0.01110025820865812,0.019709538844792318,0.014270210189152754,-0.004291434001946093,-0.006411948587387251,,-0.0026497041728944515,0.026851251117740782,0.007630282728526394,0.005449857958869542,,,-0.007597434555624116,0.015350802262464658,0.014425028028530518,-0.02214122396791285,0.011221942166182997,0.017608456517817173,0.0014339189702514687,-0.001867372041186477,
1990-02-14,-0.010500188494048102,-0.009076967149336257,,0.03258625881189192,,0.03686892192787461,-0.005788937853507092,-0.0015631504486584014,0.061055256068451635,0.026242953265920965,-0.0004011313268821315,,0.008522594499135838,0.022564590244528837,0.012121610403219574,-0.008233009950056824,,,0.028694395848637644,-0.01916330786775633,0.044249842262126915,0.037803744892276114,0.0011944100813270353,0.03004529345839524,-0.005926369004744414,0.028432110148718603,
1990-02-21,-0.01418217296302382,-0.004359761968466325,,-0.00019445512161819778,,0.009057171858611213,0.0013362717363309962,-0.00978753154079981,0.08063824552862475,0.0035660830451571535,-0.013053862934268023,,-0.007506055509525433,0.005394890511486228,0.012023049298043098,0.0014064046302768585,,,-0.008941285632470874,-0.011072397873658879,0.03655733524973992,0.06896488068975115,-0.04079871478794972,-0.04293262637692985,-0.01951687755028242,-0.009750164683646978,
1990-02-28,-0.011157287334815691,0.003063434808845633,,-0.0010775907278111063,,0.008436139724723013,-0.03080626011016796,-0.02982541319914178,-0.008786721930671204,-0.03575422724731914,-0.07388828837954198,,0.008343431055017447,0.040347520079333954,0.014941589264154453,-0.014673678961497516,,,-0.015096979208369943,-0.021115973634726726,0.030352019638194783,0.026211094155033088,0.012348171144066944,0.02653117008893857,0.0013419288725009526,-0.0296186485261275,
1990-03-07,-0.031198606251779726,-0.019760843862614452,,-0.01637940192688725,,0.010992129067570078,-0.017476915693483974,-0.003932257561709229,0.058249523474396936,-0.01211667620299528,0.02477844577052446,,-0.023985869994450626,-0.011789996237592915,-0.00933661981739653,0.010937337685534176,,,0.025427071924924327,0.05273508283684225,0.09552663609107093,0.026773607104665365,0.03171278005802569,-0.0003961982298015254,0.013255392906519559,-0.015868899395185765,
