k,mst_D_rmspe,mst_D_adjr2,mst_S_rmspe,mst_S_adjr2,ms_D_rmspe,ms_D_adjr2,ms_S_rmspe,ms_S_adjr2
1,0.006488067696290353,0.6855823153319489,0.0058404350884628375,0.8556400280182936,0.007497370004921052,0.39909753993447117,0.004407745605200743,0.6993768301557679
2,0.0064359739600488445,0.6881939646344003,0.004818894584377198,0.9009553597678116,0.006169914181206774,0.5898675988386785,0.004407660846581568,0.6970398635041619
3,0.006430042043093663,0.686317829393014,0.004673969242348387,0.9060895166657995,0.004489293406921299,0.7811593159297892,0.004311827195283082,0.7077879697745024
4,0.005659972072460147,0.7550237616110447,0.00451294691002982,0.9117538025898907,0.004442333092838752,0.7840130571201145,0.004103859055209727,0.733195318111528
5,0.005633082394737153,0.7554046904133669,0.004283096736678406,0.9198779873546712,0.004403134395389273,0.7861103974244729,0.004080377421201194,0.7341297301454696
6,0.005430921170613218,0.7708123332322598,0.0042549201751135406,0.9202910212248387,0.00413376128558448,0.8099600508345255,0.00403287206648717,0.7381899442048447
