date,xi_bear_p1,xi_bull_p1,xi_bear_p2,xi_bull_p2,bear_p1,bear_p2,bear_mst,adbear
2000-06,6.264868378903605e-104,1.0,1.0,8.401689110656121e-57,0,1,0,-0.567697182
2000-07,8.533833056241687e-54,1.0,1.0,1.1175652209676117e-24,0,1,0,-0.584421671
2000-08,1.0953372548236425e-143,1.0,1.0,6.264755101766667e-96,0,1,1,0.1311322
2000-09,3.101882761997767e-66,1.0,1.0,4.655206591763457e-41,0,1,0,-1.237230787
2000-10,6.437438636792709e-94,1.0,1.0,2.258380962737517e-81,0,1,1,0.772994125
2000-11,2.3795087838638655e-120,1.0,1.0,9.655619601842148e-67,0,1,1,0.401725057
2000-12,4.36444886170425e-258,1.0,1.0,8.472717199529184e-81,0,1,0,-0.7492395
2001-01,7.511193903687533e-216,1.0,1.0,2.7721293381304314e-80,0,1,1,0.517719
2001-02,4.4557048671071444e-120,1.0,1.0,1.5333348316674964e-57,0,1,0,-1.347084857
2001-03,6.60609238336587e-71,1.0,1.0,4.72512966724689e-22,0,1,1,1.752751632
2001-04,1.0228093601553033e-47,1.0,1.0,6.961356654098964e-21,0,1,1,1.926803005
2001-05,1.4983190436846772e-102,1.0,1.0,2.0231428412162413e-17,0,1,0,-1.7930606
2001-06,3.0398038990203005e-14,0.9999999999999696,0.9967402492458705,0.0032597507541295948,0,1,0,-0.454379426
2001-07,3.3090652644100566e-29,1.0,0.9999998204139169,1.795860831451734e-07,0,1,1,0.545855238
2001-08,0.9999999986071976,1.3928023823568121e-09,0.00046016232977546807,0.9995398376702246,1,0,0,-0.43256075
2001-09,1.0,1.6768981578405645e-25,1.0,1.9344073026419934e-32,1,1,1,1.811733343
2001-10,1.0,2.757441381593776e-59,1.0,1.921117170367517e-53,1,1,1,1.611165714
2001-11,2.385748875786108e-38,1.0,0.9999999681370298,3.1862970074384385e-08,0,1,0,-0.709750526
2001-12,7.812893371807978e-70,1.0,0.9999999999999997,3.7637692354361503e-16,0,1,0,-1.280696429
2002-01,9.84172179560338e-11,0.9999999999015828,0.987909076106761,0.012090923893238952,0,1,0,-0.92518205
2002-02,5.978971197298327e-10,0.9999999994021029,2.626917793589505e-10,0.9999999997373082,0,0,1,1.105036667
2002-03,3.1638053046128173e-63,1.0,1.0,4.5621118571269644e-17,0,1,0,-1.101581167
2002-04,1.3957799343081363e-83,1.0,1.0,4.242526193899583e-25,0,1,0,-0.118392255
2002-05,7.981544690004005e-35,1.0,0.9999999900846672,9.915332815855279e-09,0,1,1,1.467970448
2002-06,2.4257184986973783e-62,1.0,1.0,4.4960725827255823e-32,0,1,1,0.898940136
2002-07,8.84730084824017e-149,1.0,1.0,1.7806528011700628e-41,0,1,1,1.11762738
2002-08,3.0283930838166043e-37,1.0,0.0012351899384829485,0.9987648100615171,0,0,1,2.57741485
2002-09,1.1363433022288116e-143,1.0,1.0,1.5475710383916115e-35,0,1,1,0.152333727
2002-10,4.388854738938079e-34,1.0,0.9999999725415575,2.745844259683809e-08,0,1,1,0.664938815
2002-11,1.2262019386129073e-181,1.0,1.0,6.083951046303225e-85,0,1,0,-1.355122136
2002-12,4.883728645073014e-29,1.0,0.9999999999998942,1.0569407833179765e-13,0,1,0,-0.48653282
2003-01,2.619797344815146e-37,1.0,1.3785136996382555e-07,0.99999986214863,0,0,0,-0.545205748
2003-02,1.9743177269664206e-60,1.0,1.0,9.823459276195382e-24,0,1,1,1.204749286
2003-03,3.9518001497873746e-56,1.0,1.0,5.521411030528848e-29,0,1,0,-0.47932738
2003-04,3.0475690000284383e-41,1.0,0.9999999999999997,4.1325312988409813e-16,0,1,0,-0.980384171
2003-05,3.1378942110521453e-44,1.0,0.9999999999999268,7.316666307557552e-14,0,1,0,-1.761293429
2003-06,0.9999205145056197,7.948549438027178e-05,5.25877467427228e-15,0.9999999999999947,1,0,0,-1.14492281
2003-07,6.649147608194263e-40,1.0,0.9999999999985244,1.4756792835016573e-12,0,1,0,-0.655506381
2003-08,6.708943204191523e-12,0.9999999999932911,0.9999998670968199,1.329031801690078e-07,0,1,1,0.130300864
2003-09,1.3885947053280716e-09,0.9999999986114053,4.228581059167336e-09,0.9999999957714188,0,0,0,-1.474740857
2003-10,2.1006629817682356e-26,1.0,0.00033960238169619575,0.9996603976183038,0,0,1,0.139941048
2003-11,0.00020561444597656876,0.9997943855540233,2.909212905029499e-15,0.999999999999997,0,0,0,-1.098159891
2003-12,5.633010710992207e-42,1.0,2.480534207178128e-12,0.9999999999975194,0,0,0,-0.709212684
2004-01,1.5428836778960134e-18,1.0,7.371617470663326e-08,0.9999999262838253,0,0,0,-1.652516636
2004-02,0.9999873759284412,1.2624071558841385e-05,1.1132996613522453e-13,0.9999999999998886,1,0,0,-0.37689325
2004-03,4.732311611270505e-13,0.9999999999995268,0.9999988232369803,1.1767630196861823e-06,0,1,0,-1.204279826
2004-04,6.791892757440503e-89,1.0,1.0,7.54190384042807e-29,0,1,1,0.387453652
2004-05,5.35318878872956e-26,1.0,2.2314087568256165e-08,0.9999999776859124,0,0,1,0.683830143
2004-06,2.5420227968683184e-18,1.0,3.6106398407163924e-06,0.9999963893601592,0,0,0,-0.737549475
