,xi_bear
2007-03-31,0.9999986204346685
2007-04-30,0.9999999915844142
2007-05-31,0.9999999999407999
2007-06-30,0.9998345434380664
2007-07-31,4.1758028057180244e-33
2007-08-31,3.971088915893086e-15
2007-09-30,4.280105593987323e-21
2007-10-31,3.804247878105869e-16
2007-11-30,6.03516720109983e-39
2007-12-31,2.021400917551671e-39
2008-01-31,7.709168070874685e-34
2008-02-29,2.51474859563033e-30
2008-03-31,2.5103608626235968e-17
2008-04-30,6.521178601254972e-63
2008-05-31,4.186624730699957e-18
2008-06-30,0.9999999999999997
2008-07-31,1.0
2008-08-31,6.709630801916865e-29
2008-09-30,1.0482764880036085e-64
2008-10-31,0.0
2008-11-30,2.6178800408290427e-161
2008-12-31,4.530267499464621e-149
2009-01-31,4.4794226782149643e-60
2009-02-28,2.937089901314786e-73
2009-03-31,9.644008525595512e-103
2009-04-30,8.845177035708445e-250
2009-05-31,1.6485020595829644e-75
2009-06-30,1.5231159605363547e-51
2009-07-31,2.3568390507974256e-22
2009-08-31,5.915276842401606e-13
2009-09-30,3.6318221579055107e-25
2009-10-31,1.854312990010985e-43
2009-11-30,6.153809661854981e-20
2009-12-31,0.999999999999263
2010-01-31,0.9999999999705208
2010-02-28,0.9999990793093969
2010-03-31,5.339553649230528e-43
2010-04-30,3.8860741823522615e-29
2010-05-31,3.373256889428404e-22
2010-06-30,4.1177576474150513e-10
2010-07-31,1.2381394070469005e-11
2010-08-31,0.9999999997911562
2010-09-30,2.925713359763023e-25
2010-10-31,0.9999936380888296
2010-11-30,0.9998506273937182
2010-12-31,1.0
2011-01-31,0.999999999988326
2011-02-28,0.9999999999932329
2011-03-31,0.9999998784254527
2011-04-30,0.9999999999990461
2011-05-31,0.9999999999999971
2011-06-30,0.9999999999804607
2011-07-31,2.2162696542982466e-12
2011-08-31,4.547929423307179e-48
2011-09-30,3.370951948846388e-60
2011-10-31,1.5921640103964317e-86
2011-11-30,3.4808585720473137e-46
2011-12-31,1.6910317046557307e-10
2012-01-31,1.732647738854835e-72
2012-02-29,2.126494506973481e-22
2012-03-31,0.002067557094882015
2012-04-30,2.3869549351602613e-13
2012-05-31,4.245442406184602e-34
2012-06-30,4.89784797695658e-36
2012-07-31,0.999999999999967
2012-08-31,0.9927514720955277
2012-09-30,0.9999999999875042
2012-10-31,0.0018906223397411371
2012-11-30,1.029491034128117e-12
2012-12-31,0.9999996475604277
2013-01-31,0.9999999999730479
2013-02-28,0.9999999999701459
2013-03-31,0.9999999999976154
2013-04-30,9.489893544755933e-31
2013-05-31,1.3532961447657875e-37
2013-06-30,7.916729815807168e-32
2013-07-31,4.718262107084883e-14
2013-08-31,0.999999999982047
2013-09-30,0.9999999989098325
2013-10-31,0.9999999999922347
2013-11-30,2.121386850653491e-14
2013-12-31,0.9999999995767278
2014-01-31,0.9999999999731607
2014-02-28,3.1163339217797056e-13
2014-03-31,0.9999999999994296
2014-04-30,0.9999999998303121
2014-05-31,0.9999999999774323
2014-06-30,0.9999999966591107
2014-07-31,0.999999999738831
2014-08-31,0.9999999999648526
2014-09-30,0.9999999999999879
2014-10-31,0.9999999999991385
2014-11-30,0.9999999999999684
2014-12-31,1.0
2015-01-31,0.9999999999164666
2015-02-28,1.0
2015-03-31,0.9999999999990412
2015-04-30,0.9999999996735736
2015-05-31,0.9999999999999999
2015-06-30,0.9999999999999934
2015-07-31,1.0
2015-08-31,1.0
