date,xi_bear_p1,xi_bear_p2,xi_bear_p3,xi_bear_p4,bear_mst
1997-02,2.2860212462724176e-10,4.600387889955765e-09,1.5682513352436885e-06,6.855190587429429e-11,0
1997-03,0.00011906766361672328,0.00013067038097952857,0.41892699158562063,0.34969831482073277,1
1997-04,2.4641456259063885e-07,3.2526121036053765e-05,0.47152238526416046,0.9895559264260182,0
1997-05,2.1279027153995338e-06,2.4261177509599674e-05,0.9955439898880798,0.057527447675654785,0
1997-06,1.2489863231712672e-05,2.736868128153053e-05,9.708844007101514e-05,0.01880638566702,0
1997-07,0.9297821121446792,0.9981221844841931,0.03359979498155857,0.6934192783467308,0
1997-08,0.9999999978269056,0.9999999972767916,0.20706359702138075,0.013163117760241292,1
1997-09,0.9999999824326179,0.9999998778999939,0.028203906930285447,0.0335994355670139,0
1997-10,1.0,1.0,0.9025356927972671,0.00018163574965948765,1
1997-11,0.9989573092415667,0.018533076125030887,0.002146323338422545,0.023936518096543628,0
1997-12,1.0,1.0,0.9902065922877924,0.09472580156870954,0
1998-01,1.0,1.0,0.0007013143262932343,0.012530365714542751,0
1998-02,1.0,1.0,5.483512015307698e-06,0.0005226833809239381,0
1998-03,0.9999924179257464,0.9999985408354242,0.025994729184938295,0.019099507993712874,0
1998-04,0.9999118557921904,0.9961964920974596,0.016539473675215292,0.15590252526095272,0
1998-05,1.0,1.0,0.058459984802109406,0.0008963032756462326,0
1998-06,1.0,1.0,0.00445995753950501,0.989905715410162,0
1998-07,0.9999999999999081,1.0,0.9999921596076458,0.999999990986092,1
1998-08,1.0,1.0,0.9999999999824079,0.9999999999999963,1
1998-09,1.0,1.0,2.2958868743532326e-16,1.0863618673832322e-15,1
1998-10,1.0,1.0,0.9999994878056707,0.9999999999932887,0
1998-11,0.9953110593460066,0.007547883492913909,1.3428632833514086e-06,3.034851655670172e-09,0
1998-12,0.9999999999940264,0.9999994965903861,0.9955841376529007,0.3697071007048935,0
1999-01,1.0,1.0,0.9999999235252058,0.0011057529993206913,0
1999-02,0.02713455585184138,0.932739694880328,0.014399427791830895,0.9897553111816336,0
1999-03,1.0,1.0,2.024559188743307e-17,4.480636772893397e-29,0
1999-04,0.9999999999999993,0.9999999935057082,0.9999999999999992,2.319773525760481e-11,0
1999-05,0.9999442577626035,0.962805801557895,0.08519868724127101,0.028958762737424214,0
1999-06,1.0,1.0,3.915753767802517e-09,0.0002469314802281081,0
1999-07,0.025503887590338285,0.007953627871744043,0.035805064384733916,0.04448579449560444,1
1999-08,0.9012499895462237,0.8386484265589754,0.0027022160479764266,0.4163621532118904,0
1999-09,1.0,1.0,1.2840780096912286e-07,0.9999704132382,0
1999-10,1.0,1.0,0.0004954308614639814,0.6915298604164809,0
1999-11,0.9998995616670868,0.0005768484780920873,0.00020362764206275087,3.5851102053649443e-13,0
1999-12,0.9984984940030183,0.0121807172823759,0.036204887195868174,1.8155557284353363e-05,1
2000-01,1.0,1.0,5.007839840579301e-08,0.9997448969894458,1
2000-02,1.0,1.0,0.9999999999935895,0.9385736007832947,1
2000-03,0.9999068239538962,0.9999999335059462,0.9998862776575453,0.9999992168312896,0
2000-04,0.9998928344008792,0.9982131473078649,0.7978425467827747,0.839609313460291,1
2000-05,1.0,1.0,7.763083653897475e-12,3.2005564673378585e-12,0
2000-06,7.042202351804908e-05,0.9810402611884244,6.623763430895136e-05,0.9926323255971905,0
2000-07,0.0003225530959963918,0.9977009071525033,0.0017864726890036518,0.0049219216019465205,1
2000-08,0.0026914244707865976,0.9999999974186584,2.7881097669054985e-09,5.131889507292541e-11,0
2000-09,0.006267074685354942,0.38553648168131094,0.04241190497128183,0.7665242503380427,1
2000-10,0.999906554394495,0.004503843513554733,7.010992882059338e-06,1.7728201268171104e-07,1
2000-11,0.9990322109835607,0.0027183469036715646,0.011112228739139971,0.031932210594770534,0
2000-12,1.0,0.9999999999857939,1.0,2.6687617980279684e-24,1
2001-01,0.9999999999999066,0.9999999999999991,0.9999998975999433,0.9999999998865089,0
2001-02,0.012506818135274576,0.0008053447657997137,0.9901267524402878,0.011342091331911325,1
2001-03,0.017340649739716645,0.003955836019772029,0.9518198953263847,0.08500739153723555,1
2001-04,0.9998847207861381,0.9999920501536235,0.0024012164275068505,0.0006376960207841428,0
2001-05,0.14551209053397782,0.00812788333817006,0.08963797395191654,2.1876962669914198e-05,0
2001-06,0.00026752197305331647,0.01140673605381403,5.546613897802077e-07,9.966203256280995e-06,1
2001-07,0.9999875266983377,0.9999993948390586,0.0003750993521415911,0.034197992550315075,0
2001-08,0.9999459492585413,0.9999086727556499,0.005947140361840355,3.7945034932011593e-10,1
2001-09,1.8319622617897854e-06,0.9999797252852068,0.9999931120495342,0.9999996013760679,1
2001-10,1.4708637989155252e-14,2.6951105628830706e-16,4.9335890131780056e-11,2.1081746845760817e-19,0
2001-11,8.715713173041547e-09,6.329411050626498e-05,0.9999999999900179,5.8797336732098425e-06,0
2001-12,3.485263902298923e-07,3.226192286390324e-05,0.9934591808319545,0.00022989274749643117,0
2002-01,1.8662177900280213e-06,8.652843184436685e-08,0.9976768309381848,0.004445295637690365,1
2002-02,1.293381212347044e-06,3.534115040364573e-07,0.25931556144999673,0.05726026070328531,0
2002-03,4.733508022674621e-07,0.003832166221917934,0.0541779291373008,0.009094040047620856,0
2002-04,6.24370339036081e-07,1.1349476645133249e-05,0.0026947139783442225,0.5413225747739538,1
2002-05,0.0002186661147816802,0.01582783561852442,0.9589262620477985,0.6415766527106765,1
2002-06,7.219223025762806e-07,0.002916800000999302,0.9679148017724795,0.14589285983397327,1
2002-07,1.5089977080595085e-05,1.2685126342975412e-05,2.8186986740705085e-09,1.4170875510572723e-11,1
2002-08,0.9978070242113226,0.9915173941452935,0.9998387601706877,0.013248974447747653,1
2002-09,4.6326947273331744e-11,1.3772552600605386e-06,1.5036422184342867e-12,0.0018750335632588485,1
