date,C_AUD,C_CAD,C_NZD,C_NOK,C_ZAR,C_BRL,C_CLP,C_RUB,C_MXN,C_PEN,C_MYR,C_IDR
1995-01-31,-0.001303271210738921,-0.006995477671000505,0.011133761957033084,0.023654037136236372,0.0056556287645275205,-0.008225616921269108,-0.009096496619544814,,-0.02959094865100098,-0.002064693737095724,-0.0034357552805217573,-0.010583201981536172
1995-02-28,-0.03745269476706237,0.013463191062732749,-0.015508684863523636,0.027552724349063196,-0.015588898477298385,0.005316007088009611,-0.015728977616454642,,-0.003469210754553198,-0.012236573759347502,0.0029368000626519564,0.0022568269013774067
1995-03-31,-0.01843817787418678,-0.00520054142623072,0.021581600504095633,0.04746943072313514,0.0011147339966000036,-0.06515737161789059,0.01635514018691553,,-0.15282880235121254,-0.024104378593542752,0.0078932828163234,-0.007836990595611715
1995-04-30,0.005801104972375404,0.03008732663095337,0.030069390902081716,-0.006995818591186809,-0.00883904648786038,-0.012002182214948198,0.04497558468260032,,0.16027280477408334,0.0024384837064952425,0.026869300911854355,0.0008964589870013029
1995-05-31,-0.01153529250205998,-0.0046746037542911845,-0.005538922155688408,-0.009241555130656276,-0.016169357030273557,0.01103143960286812,0.03059197457290419,,-0.048661800486617945,0.003782821539830783,0.0010141987829614951,0.002021109364473528
1995-06-30,-0.008613503751041973,-0.0052314175688442655,0.009182598223693939,0.014155516773318277,0.009741239744258223,-0.011989100817438425,0.009357037829167414,,-0.021428571428571352,0.008075370121130465,0.011199081101037622,-0.0016814258491204548
1995-07-31,0.035313901345291665,0.013475699558173737,0.0058174224343674474,0.007226562500000089,0.0026136238582590288,-0.018926432848588748,-0.023368146214098884,,0.033634126333059955,-0.004910714285714213,-0.006156229615133624,-0.002571556350626114
1995-08-31,0.019220357336220628,0.015630842868895156,-0.03588907014681897,-0.0470725087243119,-0.006640977289497529,-0.01537165719098732,-0.0322173089071387,,-0.03560126582278478,0.0011173184357544663,-0.01860520945864863,-0.012367491166077937
1995-09-30,-0.005444887118193575,-0.008159632074772216,0.009844639286263668,0.025284249025999683,0.003290285432260953,-0.005236698785085703,-0.0061526870919140775,,-0.010954616588419341,-0.005555555555555869,-0.0076235854675400505,-0.00022079929344243077
1995-10-31,0.0,-0.013320647002854291,-0.0010662604722008195,0.019371048792349077,0.0033839551006933366,-0.006761676895870372,-0.036884750272100586,,-0.0596026490066226,-0.0050851204952465645,-0.005331753554502439,-0.0013230429988965176
1995-11-30,-0.00013352917612485804,0.005519576096556067,-0.0013723696248854056,-0.02504938759383657,-0.007237866331630927,-0.0029042630432527528,0.0010895883777246596,,-0.089752176825184,-0.022899114279541943,-0.004247286455875354,-0.00591845681718528
1995-12-31,-0.0006677350427347628,-0.0004413711931734454,-0.000916170407695649,0.0017256118798087972,0.0027387505819844726,-0.0065945388974756325,0.013372592319959908,,-0.022265880812049832,-0.003873466752743915,0.0007871536523931244,-0.0030594405594410734
