date_,GSCI
2007-01-10,-0.019500540531925847
2007-01-17,-0.029344053841072748
2007-01-24,0.050150501861402796
2007-01-31,0.04024860104388073
2007-02-07,-0.01390189734237035
2007-02-14,-0.004123148260107734
2007-02-21,0.019982763232611722
2007-02-28,0.023604471716758058
2007-03-07,0.013394543028504957
2007-03-14,-0.04139734962023456
2007-03-21,-0.02251795902862508
2007-03-28,0.04260339565880589
2007-04-04,0.0009536105161234154
2007-04-11,-0.015310654139856661
2007-04-18,-0.023467078679336728
2007-04-25,0.02442010789732918
2007-05-02,-0.007404781320933584
2007-05-09,-0.020756235422033975
2007-05-16,0.014132241484577923
2007-05-23,0.0
2007-05-30,0.0
2007-06-06,0.0
2007-06-13,0.0
2007-06-20,0.0
2007-06-27,0.0
2007-07-04,0.0
2007-07-11,0.0
2007-07-18,0.0
2007-07-25,0.0
2007-08-01,0.0
2007-08-08,0.0
2007-08-15,0.0
2007-08-22,0.0
2007-08-29,0.0
2007-09-05,0.0
2007-09-12,0.0
2007-09-19,0.0
2007-09-26,0.0
2007-10-03,0.0
2007-10-10,0.0
2007-10-17,0.0
2007-10-24,0.0
2007-10-31,0.0
2007-11-07,0.0
2007-11-14,0.0
2007-11-21,0.0
2007-11-28,0.0
2007-12-05,0.0
2007-12-12,0.0
2007-12-19,0.0
2007-12-26,0.0
2008-01-02,0.0
2008-01-09,0.0
2008-01-16,0.0
2008-01-23,0.0
2008-01-30,0.0
2008-02-06,0.0
2008-02-13,0.0
2008-02-20,0.0
2008-02-27,0.0
2008-03-05,0.0
2008-03-12,0.0
2008-03-19,0.0
2008-03-26,0.0
2008-04-02,0.0
2008-04-09,0.0
2008-04-16,0.0
2008-04-23,0.0
2008-04-30,0.0
2008-05-07,0.0
2008-05-14,0.0
2008-05-21,0.0
2008-05-28,0.0
2008-06-04,0.0
2008-06-11,0.5571237178952095
2008-06-18,0.012856768857021805
2008-06-25,-0.02846755288535774
2008-07-02,0.046304384090285255
2008-07-09,-0.046998174054246
2008-07-16,-0.029154262213885285
2008-07-23,-0.06569428834133118
2008-07-30,0.027786612294452118
2008-08-06,-0.028174258058089263
2008-08-13,0.03266301337198918
2008-08-20,-0.005612140019092049
2008-08-27,0.03261900716450028
2008-09-03,-0.04014822483280134
2008-09-10,-0.02452802965640144
2008-09-17,-0.00949619127961887
2008-09-24,-0.0038588745984036166
2008-10-01,-0.010353200653651862
2008-10-08,0.06277356389500244
2008-10-15,-0.146290007458016
2008-10-22,-0.0709270332703823
2008-10-29,0.033482342021241784
2008-11-05,-0.0709322783785924
2008-11-12,-0.030521239634965447
2008-11-19,-0.04623718555372691
2008-11-26,0.019623786798952825
2008-12-03,-0.10677388859571801
2008-12-10,-0.07466383399229715
2008-12-17,-0.042655326065603405
2008-12-24,-0.0895529059150203
2008-12-31,0.10912936258005157
2009-01-07,-0.019655557056384887
2009-01-14,0.008247262646302822
2009-01-21,0.00030358419345000165
2009-01-28,-0.03547392898860502
2009-02-04,-0.0016378028930739141
2009-02-11,-0.030788475027397344
2009-02-18,-0.07295042901809634
2009-02-25,0.049433296129954396
2009-03-04,0.037834743436102825
2009-03-11,-0.06391376545206151
2009-03-18,0.059955040921442215
2009-03-25,0.0038020952718227363
2009-04-01,-0.04970962010314961
2009-04-08,0.008263204871218344
2009-04-15,-0.015482132072085153
2009-04-22,-0.023048380055894713
2009-04-29,-0.0054563107142378
2009-05-06,0.05610904505899117
2009-05-13,0.003778925654233767
2009-05-20,0.0016259349292933045
2009-05-27,0.0018736765239408815
2009-06-03,0.005456228188112311
2009-06-10,0.057453437896691995
2009-06-17,0.014749250054275631
2009-06-24,-0.056781358340967425
2009-07-01,-0.004109836857265625
