date,xi_bear
2010-08-31,2.09150930244377e-06
2010-09-30,2.809745196020122e-16
2010-10-31,1.8414611704623006e-11
2010-11-30,4.4526608974428026e-08
2010-12-31,2.563798711262484e-15
2011-01-31,0.0020635911070495463
2011-02-28,5.978022978571306e-10
2011-03-31,2.4538613116185478e-05
2011-04-30,0.0005728826679462899
2011-05-31,5.789033351218064e-07
2011-06-30,1.4451464236493476e-17
2011-07-31,8.1496370134233e-14
2011-08-31,2.977357063270126e-06
2011-09-30,1.0286100522952705e-09
2011-10-31,8.373384085754884e-09
2011-11-30,0.00021967406886880147
2011-12-31,1.5465766761731943e-05
2012-01-31,4.636031927671726e-08
2012-02-29,0.001377312262881387
2012-03-31,2.0026643009012867e-06
2012-04-30,8.533056034010964e-07
2012-05-31,1.178888701354446e-13
2012-06-30,9.68696182620667e-05
2012-07-31,2.9698901906897234e-10
2012-08-31,8.26437825428949e-06
2012-09-30,1.0377733739676557e-08
2012-10-31,1.5187567841671936e-06
2012-11-30,3.2891384842009775e-05
2012-12-31,2.3721102041366835e-06
2013-01-31,3.2959788576344815e-05
2013-02-28,3.3327589288840554e-07
2013-03-31,5.905400635320416e-05
2013-04-30,3.5431805501905707e-06
2013-05-31,0.0006047872306398301
2013-06-30,4.381310495997401e-05
2013-07-31,3.35967677050908e-09
2013-08-31,0.000294386317161507
2013-09-30,0.0028166154026497197
2013-10-31,6.523249782980646e-05
2013-11-30,0.0003790615867996045
2013-12-31,1.8849348521377468e-06
2014-01-31,1.1285981634175644e-05
2014-02-28,2.242081399275264e-08
2014-03-31,0.0004718011561165838
2014-04-30,2.9488032928969542e-06
2014-05-31,1.7995440790403768e-06
2014-06-30,4.0109093328448896e-08
2014-07-31,2.8682502316688966e-07
2014-08-31,0.00020717398710739816
2014-09-30,4.4985158449944106e-08
2014-10-31,0.0007312875492264787
2014-11-30,0.05656005715264183
2014-12-31,1.0
2015-01-31,0.9999997682481406
2015-02-28,0.9999999778748299
2015-03-31,0.9997920602533328
2015-04-30,0.9999951563643503
2015-05-31,4.0839444910219777e-05
2015-06-30,0.000328127370151781
2015-07-31,0.003793906801679982
2015-08-31,1.0
